,deer,wildb,rabbit,rat,fox,badger,unkn
ER002H,0.013891667,0.013883333,0,0,0,0,0
ER007H,0.0625,0.013891667,0.027783333,0,0,0,0
ER028H,0.118008333,0,0,0,0,0,0
ER033H,0.229166667,0,0,0,0,0,0
ER036H,7.833333333,0.041675,0.006941667,0,0,0.069416667,0
ER037H,0,0.152808333,0,0,0,0,0
ER044H,0.145825,0.347291667,0,0,0,0,0
ER045H,0.624975,0,0,0,0,0,0.00833
ER047H,0.055566667,0.097183333,0,0,0,0,0
ER050H,0.027783333,0.055533333,0,0,0,0,0
ER052X,0.1875,0.62505,0.069458333,0,0,0,0
ER053H,0.062475,0,0,0,0,0,0
ER061H,0,0,0,0,0,0.013891667,0
ER067H,1.833333334,0,0,0,0.055566667,0.270833333,0
ER070H,0.749925,0,1.625,0,0.111133333,0,0
ER071M-H,0.625125,0,0,0,0,0,0
ER072H,1.31955,0,0,0,0,0,0
ER073H,8.263558334,0,0,0,0,0,0
ER074M-H,4.569183333,0,0,0,0,0,0
ER079H,0,0,0,0,0,0.180591667,0
ER080H,1.847116667,0.243075,2.833333333,0.201308333,0,0.5,0
ER085H,1.2501,0,0,0,0,0,0
ER086H,0.9999,0,0,0,0,0,0
ER090H,0.0625,0,0,0,0,0,0
