,deer,wildboar,rabbit,rat,fox,badger,unknow
CHU0108,0.00,0.00,0.01,0.00,0.00,0.00,0.00
CHU0111,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CHU096M,0.69,0.00,0.00,0.00,0.00,0.11,0.43
CHU100,0.00,0.00,0.00,0.00,0.00,0.00,0.13
CHU105M,0.00,0.00,0.19,0.00,0.00,0.01,0.00
CHU114M,0.29,0.00,0.01,0.00,0.00,0.04,0.02
EM001H,0.06,0.00,0.00,0.00,0.00,0.00,0.00
EM003H,0.00,0.00,0.07,0.00,0.00,0.00,0.00
EM007,0.00,0.00,0.08,0.00,0.00,0.00,0.00
EM008,0.00,0.00,0.04,0.00,0.00,0.00,0.00
EM009,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EM013,0.00,0.00,0.10,0.00,0.00,0.00,0.00
EM028,0.00,0.00,0.00,0.00,0.00,0.00,0.17
EM031,0.00,0.00,0.08,0.06,0.00,0.00,0.00
EM044,0.00,0.00,0.00,0.13,0.00,0.00,0.00
EM054,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EM060,0.00,0.00,0.10,0.06,0.00,0.00,0.00
EM062B,0.04,0.00,0.00,0.04,0.00,0.00,0.00
EM066H,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EM083H,0.00,0.00,0.00,0.44,0.00,0.00,0.00
EM090H,0.00,0.00,0.00,0.93,0.00,0.00,0.04
EM097H,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EM117H,0.04,0.00,0.00,0.00,0.00,0.00,0.19
EM123H,0.03,0.00,0.00,0.10,0.00,0.00,0.03
EM128,0.05,0.00,0.00,0.13,0.00,0.09,0.00
EM133,0.54,0.00,0.00,0.19,0.00,0.00,0.00
EM136,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EM138,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EM142,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EM155,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EM160,0.03,0.00,0.08,0.00,0.00,0.00,0.00
EM163,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EM171,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EM190,0.00,0.02,0.59,0.17,0.00,0.00,0.07
EM193,0.06,0.00,0.00,0.00,0.00,0.00,0.01
EM199,0.00,0.00,0.14,0.08,0.00,0.28,0.00
EM227,0.02,0.00,0.03,0.00,0.00,0.00,0.05
EM234,0.00,0.00,0.09,0.00,0.00,0.00,0.00
EM236,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EM240,0.21,0.00,0.00,0.00,0.00,0.44,0.00
EM270,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EM291H,0.00,0.03,1.13,0.06,0.00,0.00,0.00
EM293,0.00,0.00,0.00,0.09,0.00,0.00,0.00
EM297H,0.27,0.00,1.25,0.00,0.00,0.00,0.00
EM298H,0.17,0.00,1.25,0.32,0.01,0.00,0.00
EM300H,0.00,0.00,0.08,0.38,0.01,0.00,0.00
ER002H,0.01,0.01,0.00,0.00,0.00,0.00,0.00
ER007H,0.06,0.01,0.03,0.00,0.00,0.00,0.00
ER028H,0.12,0.00,0.00,0.00,0.00,0.00,0.00
ER033H,0.23,0.00,0.00,0.00,0.00,0.00,0.00
ER036H,7.83,0.04,0.01,0.00,0.00,0.07,0.00
ER037H,0.00,0.15,0.00,0.00,0.00,0.00,0.00
ER044H,0.15,0.35,0.00,0.00,0.00,0.00,0.00
ER045H,0.62,0.00,0.00,0.00,0.00,0.00,0.01
ER047H,0.06,0.10,0.00,0.00,0.00,0.00,0.00
ER050H,0.03,0.06,0.00,0.00,0.00,0.00,0.00
ER052X,0.19,0.63,0.07,0.00,0.00,0.00,0.00
ER053H,0.06,0.00,0.00,0.00,0.00,0.00,0.00
ER061H,0.00,0.00,0.00,0.00,0.00,0.01,0.00
ER067H,1.83,0.00,0.00,0.00,0.06,0.27,0.00
ER070H,0.75,0.00,1.63,0.00,0.11,0.00,0.00
ER071M-H,0.63,0.00,0.00,0.00,0.00,0.00,0.00
ER072H,1.32,0.00,0.00,0.00,0.00,0.00,0.00
ER073H,8.26,0.00,0.00,0.00,0.00,0.00,0.00
ER074M-H,4.57,0.00,0.00,0.00,0.00,0.00,0.00
ER079H,0.00,0.00,0.00,0.00,0.00,0.18,0.00
ER080H,1.85,0.24,2.83,0.20,0.00,0.50,0.00
ER085H,1.25,0.00,0.00,0.00,0.00,0.00,0.00
ER086H,1.00,0.00,0.00,0.00,0.00,0.00,0.00
ER090H,0.06,0.00,0.00,0.00,0.00,0.00,0.00
