"","normalised.degree","species.strength","species.specificity.index","node.specialisation.index.NSI","effective.partners"
"ER002H",0.333333333333333,0.00917934613083154,0.632455574739794,1.08695652173913,1.99999990996759
"ER007H",0.5,0.0168480986833109,0.581913355598631,1.08695652173913,2.52860392655128
"ER028H",0.166666666666667,0.00382135043880053,1,1.1304347826087,1
"ER033H",0.166666666666667,0.0074208839429916,1,1.1304347826087,1
"ER036H",0.666666666666667,0.348471526132245,0.982223592489314,1,1.09395001503647
"ER037H",0.166666666666667,0.0960822018039926,1,1.65217391304348,1
"ER044H",0.333333333333333,0.223090751983358,0.707214035433949,1.08695652173913,1.83527637132526
"ER045H",0.166666666666667,0.0202379648095644,1,1.1304347826087,1
"ER047H",0.333333333333333,0.0629059026342478,0.666736266048568,1.08695652173913,1.92621983256832
"ER050H",0.333333333333333,0.0358177041152249,0.683051991001645,1.08695652173913,1.89005620262932
"ER052X",0.5,0.414311716415049,0.681411828556996,1.08695652173913,2.16702112756612
"ER053H",0.166666666666667,0.00202306788507947,1,1.1304347826087,1
"ER061H",0.166666666666667,0.0134253595042682,1,1.82608695652174,1
"ER067H",0.5,0.654442562110252,0.827261583247285,1.04347826086957,1.63823508364134
"ER070H",0.5,1.04711384780812,0.651377966770678,1.1304347826087,2.17792260749856
"ER071M-H",0.166666666666667,0.020242822115411,1,1.1304347826087,1
"ER072H",0.166666666666667,0.0427297195319185,1,1.1304347826087,1
"ER073H",0.166666666666667,0.267590868059162,1,1.1304347826087,1
"ER074M-H",0.166666666666667,0.147959472781635,1,1.1304347826087,1
"ER079H",0.166666666666667,0.174529669689756,1,1.82608695652174,1
"ER080H",0.833333333333333,2.31687169829079,0.49713569044234,1,3.25824794812745
"ER085H",0.166666666666667,0.0404807869249754,1,1.1304347826087,1
"ER086H",0.166666666666667,0.0323788007729645,1,1.1304347826087,1
"ER090H",0.166666666666667,0.00202387743605389,1,1.1304347826087,1
