,deer,wildboar,rabbit,rat,fox,badger,unknow
CHU0108,0,0,0.013888889,0,0,0,0
CHU0111,0,0,0,0,0,0,0
CHU096M,0.6875,0,0,0,0,0.111111111,0.425
CHU100,0,0,0,0,0,0,0.126666667
CHU105M,0,0,0.194444444,0,0,0.006944444,0
CHU114M,0.291666667,0,0.013888889,0,0,0.041666667,0.02
EM001H,0.0625,0,0,0,0,0,0
EM003H,0,0,0.069444444,0,0,0,0
EM007,0,0,0.076388889,0,0,0,0
EM008,0,0,0.041666667,0,0,0,0
EM009,0,0,0,0,0,0,0
EM013,0,0,0.097222222,0,0,0,0
EM028,0,0,0,0,0,0,0.166666667
EM031,0,0,0.083333334,0.06,0,0,0
EM044,0,0,0,0.1275,0,0,0
EM054,0,0,0,0,0,0,0
EM060,0,0,0.104166667,0.056666667,0,0,0
EM062B,0.041666667,0,0,0.0425,0,0,0
EM066H,0,0,0,0,0,0,0
EM083H,0,0,0,0.439166667,0,0,0
EM090H,0,0,0,0.935,0,0,0.0425
EM097H,0,0,0,0,0,0,0
EM117H,0.041666667,0,0,0,0,0,0.1875
EM123H,0.034722222,0,0,0.099166667,0,0,0.033333333
EM128,0.048611111,0,0,0.125,0,0.090277777,0
EM133,0.541666667,0,0,0.1925,0,0,0
EM136,0,0,0,0,0,0,0
EM138,0,0,0,0,0,0,0
EM142,0,0,0,0,0,0,0
EM155,0,0,0,0,0,0,0
EM160,0.027777778,0,0.083333334,0,0,0,0
EM163,0,0,0,0,0,0,0
EM171,0,0,0,0,0,0,0
EM190,0,0.020833333,0.590277778,0.166666667,0,0,0.070833333
EM193,0.055555556,0,0,0,0,0,0.006666667
EM199,0,0,0.138888889,0.083333333,0,0.277777778,0
EM227,0.020833333,0,0.027777778,0,0,0,0.046666667
EM234,0,0,0.090277777,0,0,0,0
EM236,0,0,0,0,0,0,0
EM240,0.208333334,0,0,0,0,0.4375,0
EM270,0,0,0,0,0,0,0
EM291H,0,0.027777778,1.125,0.056666667,0,0,0
EM293,0,0,0,0.086666667,0,0,0
EM297H,0.270833333,0,1.249999999,0,0,0,0
EM298H,0.166666667,0,1.25,0.315,0.013888889,0,0
EM300H,0,0,0.083333333,0.375,0.013888889,0,0
