"","normalised.degree","species.strength","species.specificity.index","node.specialisation.index.NSI","effective.partners"
"CHU0108",0.166666666666667,0.00260416668766276,1,1.43333333333333,1
"CHU096M",0.333333333333333,0.390107913426706,0.844123464694544,1.5,1.49687832998486
"CHU105M",0.333333333333333,0.0436525774019603,0.959215893030631,1.33333333333333,1.16182833686535
"CHU114M",0.5,0.162436301400333,0.816039213741128,1.13333333333333,1.69832675498819
"EM001H",0.166666666666667,0.02499999998,1,1.56666666666667,1
"EM003H",0.166666666666667,0.0130208332508138,1,1.43333333333333,1
"EM007",0.166666666666667,0.0143229166883952,1,1.43333333333333,1
"EM008",0.166666666666667,0.00781250006298828,1,1.43333333333333,1
"EM013",0.166666666666667,0.0182291666261393,1,1.43333333333333,1
"EM031",0.333333333333333,0.0346073359978551,0.644903471467073,1.16666666666667,1.97355724106362
"EM044",0.166666666666667,0.0403374637277419,1,1.53333333333333,1
"EM060",0.333333333333333,0.0374590118259523,0.672558020113943,1.16666666666667,1.91339291065049
"EM062B",0.333333333333333,0.0301124880292473,0.632502029811323,1.23333333333333,1.99990197127505
"EM083H",0.166666666666667,0.138940152945457,1,1.53333333333333,1
"EM090H",0.166666666666667,0.295808067336774,1,1.53333333333333,1
"EM117H",0.166666666666667,0.0166666667866667,1,1.56666666666667,1
"EM123H",0.333333333333333,0.0452624717937011,0.734170193672402,1.23333333333333,1.77244748286596
"EM128",0.5,0.152516156576576,0.500415340386022,1.2,2.808141530301
"EM133",0.333333333333333,0.277568327548944,0.731925463440367,1.23333333333333,1.77774837642656
"EM160",0.333333333333333,0.0267361113170877,0.741619848709566,1.13333333333333,1.75476535060332
"EM190",0.5,0.59197721693647,0.739682433431503,1.16666666666667,1.88967574130938
"EM193",0.166666666666667,0.0222222223822222,1,1.56666666666667,1
"EM199",0.5,0.340175806596029,0.544331054387282,1.1,2.66709451107829
"EM227",0.333333333333333,0.0135416665686589,0.642063003119121,1.13333333333333,1.97962632670523
"EM234",0.166666666666667,0.0169270831885579,1,1.43333333333333,1
"EM240",0.333333333333333,0.536570743970474,0.689598655259574,1.5,1.87535766259
"EM291H",0.5,0.800293839081538,0.91735881124583,1.16666666666667,1.3463563966185
"EM293",0.166666666666667,0.0274189296981709,1,1.53333333333333,1
"EM297H",0.333333333333333,0.342708332940482,0.80542819710646,1.13333333333333,1.59755275307372
"EM298H",0.666666666666667,0.900698930088678,0.68224677546819,1,2.24981403227112
"EM300H",0.5,0.634264599137717,0.771463356102278,1.16666666666667,1.80920126869653
