,deer,wildboar,rabbit,rat,fox,badger,unknow
CHU0108,0,0,0.166666667,0,0,0,0
CHU0111,0,0,0,0,0,0,0
CHU096M,0.75,0,0,0,0,0.666666667,2.5
CHU100,0,0,0,0,0,0,1.583333333
CHU105M,0,0,0.583333333,0,0,0.083333333,0
CHU114M,0.583333333,0,0.166666667,0,0,0.5,0.25
EM001H,0.75,0,0,0,0,0,0
EM003H,0,0,0.833333333,0.333333333,0,0,0
EM007,0,0,0.916666667,0,0,0,0
EM008,0,0,0.5,0,0,0,0
EM009,0,0,0,0,0,0,0
EM013,0,0,0.166666667,0,0,0,0
EM028,0,0,0,0,0,0,2.083333333
EM031,0,0,0.5,0.75,0,0,0
EM044,0,0,0,0.75,0,0,0
EM054,0,0,0,0,0,0,0
EM060,0,0,0.416666667,0.333333333,0,0,0
EM062B,0.25,0,0,0.25,0,0,0
EM066H,0,0,0,0,0,0,0
EM083H,0,0,0,2.583333333,0,0,0
EM090H,0,0,0,2.833333333,0,0,0.25
EM097H,0,0,0,0,0,0,0
EM117H,0.25,0,0,0,0,0,0.75
EM123H,0.416666667,0,0,0.583333333,0,0,0.416666667
EM128,0.583333333,0,0,0.5,0,1.083333333,0
EM133,2.166666667,0,0,0.583333333,0,0,0
EM136,0,0,0,0,0,0,0
EM138,0,0,0,0,0,0,0
EM142,0,0,0,0,0,0,0
EM155,0,0,0,0,0,0,0
EM160,0.166666667,0,0.5,0,0,0,0
EM163,0,0,0,0,0,0,0
EM171,0,0,0,0,0,0,0
EM190,0,0.25,1.416666667,0.666666667,0,0,0.416666667
EM193,0.333333333,0,0,0,0,0,0.083333333
EM199,0,0,0.333333333,0.333333333,0,1.666666667,0
EM227,0.25,0,0.333333333,0,0,0,0.583333333
EM234,0,0,1.083333333,0,0,0,0
EM236,0,0,0,0,0,0,0
EM240,0.5,0,0,0,0,1.75,0
EM270,0,0,0,0,0,0,0
EM291H,0,0.333333333,1.5,0.333333333,0,0,0
EM293,0,0,0,1.083333333,0,0,0
EM297H,1.083333333,0,3.75,0,0,0,0
EM298H,0.5,0,1.5,0.75,0.166666667,0,0
EM300H,0,0,0.333333333,0.75,0.166666667,0,0
ER002H,0.083333333,0.166666667,0,0,0,0,0
ER007H,0.25,0.083333333,0.166666667,0,0,0,0
ER028H,1.416666667,0,0,0,0,0,0
ER033H,0.916666667,0,0,0,0,0,0
ER036H,7.833333333,0.25,0.083333333,0,0,0.833333333,0
ER037H,0,0.916666667,0,0,0,0,0
ER044H,0.25,2.083333333,0,0,0,0,0
ER045H,0.75,0,0,0,0,0,0.1
ER047H,0.333333333,1.166666667,0,0,0,0,0
ER050H,0.166666667,0.666666667,0,0,0,0,0
ER052X,0.75,1.5,0.416666667,0,0,0,0
ER053H,0.75,0,0,0,0,0,0
ER061H,0,0,0,0,0,0.083333333,0
ER067H,3.666666667,0,0,0,0.333333333,1.083333333,0
ER070H,2.25,0,2.166666667,0,0.666666667,0,0
ER071M-H,3.75,0,0,0,0,0,0
ER072H,3.166666667,0,0,0,0,0,0
ER073H,9.916666667,0,0,0,0,0,0
ER074M-H,7.833333333,0,0,0,0,0,0
ER079H,0,0,0,0,0,1.083333333,0
ER080H,3.166666667,0.583333333,2.833333333,2.416666667,0,2,0
ER085H,3,0,0,0,0,0,0
ER086H,3,0,0,0,0,0,0
ER090H,0.083333333,0,0,0,0,0,0
