,deer,wildboar,rabbit,rat,fox,badger,ant,mut,class_ant,class_mut,combination,motif
1,0,0,0.003972222,0,0,0,0,0.003972222,absent,weak,ant-absent_mut-weak,Mutualist
2,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction
3,0.6798,0,0,0,0,0.019888889,0.6798,0.019888889,strong,weak,ant-strong_mut-weak,Mutualist-Antagonist
4,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction
5,0,0,0.055611111,0,0,0.001243055,0,0.056854166,absent,strong,ant-absent_mut-strong,Mutualist
6,0.2884,0,0.003972222,0,0,0.007458333,0.2884,0.011430556,strong,weak,ant-strong_mut-weak,Mutualist-Antagonist
7,0.0618,0,0,0,0,0,0.0618,0,strong,absent,ant-strong_mut-absent,Antagonist
8,0,0,0.019861111,0,0,0,0,0.019861111,absent,weak,ant-absent_mut-weak,Mutualist
9,0,0,0.021847222,0,0,0,0,0.021847222,absent,weak,ant-absent_mut-weak,Mutualist
10,0,0,0.011916667,0,0,0,0,0.011916667,absent,weak,ant-absent_mut-weak,Mutualist
11,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction
12,0,0,0.027805555,0,0,0,0,0.027805555,absent,weak,ant-absent_mut-weak,Mutualist
13,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction
14,0,0,0.023833334,0.01716,0,0,0,0.040993334,absent,weak,ant-absent_mut-weak,Mutualist
15,0,0,0,0.036465,0,0,0,0.036465,absent,weak,ant-absent_mut-weak,Mutualist
16,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction
17,0,0,0.029791667,0.016206667,0,0,0,0.045998334,absent,weak,ant-absent_mut-weak,Mutualist
18,0.0412,0,0,0.012155,0,0,0.0412,0.012155,weak,weak,ant-weak_mut-weak,Mutualist-Antagonist
19,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction
20,0,0,0,0.125601667,0,0,0,0.125601667,absent,strong,ant-absent_mut-strong,Mutualist
21,0,0,0,0.26741,0,0,0,0.26741,absent,strong,ant-absent_mut-strong,Mutualist
22,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction
23,0.0412,0,0,0,0,0,0.0412,0,weak,absent,ant-weak_mut-absent,Antagonist
24,0.034333333,0,0,0.028361667,0,0,0.034333333,0.028361667,weak,weak,ant-weak_mut-weak,Mutualist-Antagonist
25,0.048066666,0,0,0.03575,0,0.016159722,0.048066666,0.051909722,weak,strong,ant-weak_mut-strong,Mutualist-Antagonist
26,0.5356,0,0,0.055055,0,0,0.5356,0.055055,strong,strong,ant-strong_mut-strong,Mutualist-Antagonist
27,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction
28,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction
29,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction
30,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction
31,0.027466667,0,0.023833334,0,0,0,0.027466667,0.023833334,weak,weak,ant-weak_mut-weak,Mutualist-Antagonist
32,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction
33,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction
34,0,0.020833333,0.168819445,0.047666667,0,0,0.020833333,0.216486111,weak,strong,ant-weak_mut-strong,Mutualist-Antagonist
35,0.054933333,0,0,0,0,0,0.054933333,0,strong,absent,ant-strong_mut-absent,Antagonist
36,0,0,0.039722222,0.023833333,0,0.049722222,0,0.113277778,absent,strong,ant-absent_mut-strong,Mutualist
37,0.0206,0,0.007944445,0,0,0,0.0206,0.007944445,weak,weak,ant-weak_mut-weak,Mutualist-Antagonist
38,0,0,0.025819444,0,0,0,0,0.025819444,absent,weak,ant-absent_mut-weak,Mutualist
39,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction
40,0.206,0,0,0,0,0.0783125,0.206,0.0783125,strong,strong,ant-strong_mut-strong,Mutualist-Antagonist
41,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction
42,0,0.027777778,0.32175,0.016206667,0,0,0.027777778,0.337956667,weak,strong,ant-weak_mut-strong,Mutualist-Antagonist
43,0,0,0,0.024786667,0,0,0,0.024786667,absent,weak,ant-absent_mut-weak,Mutualist
44,0.2678,0,0.3575,0,0,0,0.2678,0.3575,strong,strong,ant-strong_mut-strong,Mutualist-Antagonist
45,0.1648,0,0.3575,0.09009,0.002486111,0,0.1648,0.450076111,strong,strong,ant-strong_mut-strong,Mutualist-Antagonist
46,0,0,0.023833333,0.10725,0.002486111,0,0,0.133569444,absent,strong,ant-absent_mut-strong,Mutualist
47,0.01373608,0.013883333,0,0,0,0,0.027619413,0,weak,absent,ant-weak_mut-absent,Antagonist
48,0.0618,0.013891667,0.007946033,0,0,0,0.075691667,0.007946033,strong,weak,ant-strong_mut-weak,Mutualist-Antagonist
49,0.11668664,0,0,0,0,0,0.11668664,0,strong,absent,ant-strong_mut-absent,Antagonist
50,0.2266,0,0,0,0,0,0.2266,0,strong,absent,ant-strong_mut-absent,Antagonist
51,7.7456,0.041675,0.001985317,0,0,0.012425583,7.787275,0.0144109,strong,weak,ant-strong_mut-weak,Mutualist-Antagonist
52,0,0.152808333,0,0,0,0,0.152808333,0,strong,absent,ant-strong_mut-absent,Antagonist
53,0.14419176,0.347291667,0,0,0,0,0.491483427,0,strong,absent,ant-strong_mut-absent,Antagonist
54,0.61797528,0,0,0,0,0,0.61797528,0,strong,absent,ant-strong_mut-absent,Antagonist
55,0.05494432,0.097183333,0,0,0,0,0.152127653,0,strong,absent,ant-strong_mut-absent,Antagonist
56,0.02747216,0.055533333,0,0,0,0,0.083005493,0,strong,absent,ant-strong_mut-absent,Antagonist
57,0.1854,0.62505,0.019865083,0,0,0,0.81045,0.019865083,strong,weak,ant-strong_mut-weak,Mutualist-Antagonist
58,0.06177528,0,0,0,0,0,0.06177528,0,strong,absent,ant-strong_mut-absent,Antagonist
59,0,0,0,0,0,0.002486608,0,0.002486608,absent,weak,ant-absent_mut-weak,Mutualist
60,1.8128,0,0,0,0.009946433,0.048479167,1.8128,0.0584256,strong,strong,ant-strong_mut-strong,Mutualist-Antagonist
61,0.74152584,0,0.46475,0,0.019892867,0,0.74152584,0.484642867,strong,strong,ant-strong_mut-strong,Mutualist-Antagonist
62,0.6181236,0,0,0,0,0,0.6181236,0,strong,absent,ant-strong_mut-absent,Antagonist
63,1.30477104,0,0,0,0,0,1.30477104,0,strong,absent,ant-strong_mut-absent,Antagonist
64,8.17100648,0,0,0,0,0,8.17100648,0,strong,absent,ant-strong_mut-absent,Antagonist
65,4.51800848,0,0,0,0,0,4.51800848,0,strong,absent,ant-strong_mut-absent,Antagonist
