"","deer","wildboar","rabbit","rat","fox","badger","ant","mut","class_ant","class_mut","combination","motif"
"1",0,0,0.003972222254,0,0,0,0,0.003972222254,"absent","weak","ant-absent_mut-weak","Mutualist"
"2",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"3",0.6798,0,0,0,0,0.019888888869,0.6798,0.019888888869,"strong","weak","ant-strong_mut-weak","Antagonist-MW"
"4",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"5",0,0,0.055611110984,0,0,0.001243055476,0,0.05685416646,"absent","strong","ant-absent_mut-strong","Mutualist"
"6",0.2884,0,0.003972222254,0,0,0.007458333393,0.2884,0.011430555647,"strong","weak","ant-strong_mut-weak","Antagonist-MW"
"7",0.0618,0,0,0,0,0,0.0618,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"8",0,0,0.019861110984,0,0,0,0,0.019861110984,"absent","weak","ant-absent_mut-weak","Mutualist"
"9",0,0,0.021847222254,0,0,0,0,0.021847222254,"absent","weak","ant-absent_mut-weak","Mutualist"
"10",0,0,0.011916666762,0,0,0,0,0.011916666762,"absent","weak","ant-absent_mut-weak","Mutualist"
"11",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"12",0,0,0.027805555492,0,0,0,0,0.027805555492,"absent","weak","ant-absent_mut-weak","Mutualist"
"13",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"14",0,0,0.023833333524,0.01716,0,0,0,0.040993333524,"absent","weak","ant-absent_mut-weak","Mutualist"
"15",0,0,0,0.036465,0,0,0,0.036465,"absent","weak","ant-absent_mut-weak","Mutualist"
"16",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"17",0,0,0.029791666762,0.016206666762,0,0,0,0.045998333524,"absent","weak","ant-absent_mut-weak","Mutualist"
"18",0.0412,0,0,0.012155,0,0,0.0412,0.012155,"weak","weak","ant-weak_mut-weak","Mutualist-Antagonist"
"19",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"20",0,0,0,0.125601666762,0,0,0,0.125601666762,"absent","strong","ant-absent_mut-strong","Mutualist"
"21",0,0,0,0.26741,0,0,0,0.26741,"absent","strong","ant-absent_mut-strong","Mutualist"
"22",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"23",0.0412,0,0,0,0,0,0.0412,0,"weak","absent","ant-weak_mut-absent","Antagonist"
"24",0.034333333,0,0,0.028361666762,0,0,0.034333333,0.028361666762,"weak","weak","ant-weak_mut-weak","Mutualist-Antagonist"
"25",0.048066666,0,0,0.03575,0,0.016159722083,0.048066666,0.051909722083,"weak","strong","ant-weak_mut-strong","Mutualist-AW"
"26",0.5356,0,0,0.055055,0,0,0.5356,0.055055,"strong","strong","ant-strong_mut-strong","Mutualist-Antagonist"
"27",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"28",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"29",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"30",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"31",0.027466667,0,0.023833333524,0,0,0,0.027466667,0.023833333524,"weak","weak","ant-weak_mut-weak","Mutualist-Antagonist"
"32",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"33",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"34",0,0.020833333,0.168819444508,0.047666666762,0,0,0.020833333,0.21648611127,"weak","strong","ant-weak_mut-strong","Mutualist-AW"
"35",0.054933333,0,0,0,0,0,0.054933333,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"36",0,0,0.039722222254,0.023833333238,0,0.049722222262,0,0.113277777754,"absent","strong","ant-absent_mut-strong","Mutualist"
"37",0.0206,0,0.007944444508,0,0,0,0.0206,0.007944444508,"weak","weak","ant-weak_mut-weak","Mutualist-Antagonist"
"38",0,0,0.025819444222,0,0,0,0,0.025819444222,"absent","weak","ant-absent_mut-weak","Mutualist"
"39",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"40",0.206,0,0,0,0,0.0783125,0.206,0.0783125,"strong","strong","ant-strong_mut-strong","Mutualist-Antagonist"
"41",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"42",0,0.027777778,0.32175,0.016206666762,0,0,0.027777778,0.337956666762,"weak","strong","ant-weak_mut-strong","Mutualist-AW"
"43",0,0,0,0.024786666762,0,0,0,0.024786666762,"absent","weak","ant-absent_mut-weak","Mutualist"
"44",0.2678,0,0.357499999714,0,0,0,0.2678,0.357499999714,"strong","strong","ant-strong_mut-strong","Mutualist-Antagonist"
"45",0.1648,0,0.3575,0.09009,0.002486111131,0,0.1648,0.450076111131,"strong","strong","ant-strong_mut-strong","Mutualist-Antagonist"
"46",0,0,0.023833333238,0.10725,0.002486111131,0,0,0.133569444369,"absent","strong","ant-absent_mut-strong","Mutualist"
"47",0.01373608,0.013883333,0,0,0,0,0.027619413,0,"weak","absent","ant-weak_mut-absent","Antagonist"
"48",0.0618,0.013891667,0.007946033238,0,0,0,0.075691667,0.007946033238,"strong","weak","ant-strong_mut-weak","Antagonist-MW"
"49",0.11668664,0,0,0,0,0,0.11668664,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"50",0.2266,0,0,0,0,0,0.2266,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"51",7.7456,0.041675,0.001985316762,0,0,0.012425583393,7.787275,0.014410900155,"strong","weak","ant-strong_mut-weak","Antagonist-MW"
