"","deer_a","wildb","rabbit","rat","fox","badger","ant","mut","class_ant","class_mut","combination","Motif"
"1",0,0,0.0039754,0,0,0,0,0.0039754,"absent","weak","ant-absent_mut-weak","Mutualist"
"2",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"3",0.0063,0,0,0,0,0,0.0063,0,"weak","absent","ant-weak_mut-absent","Antagonist"
"4",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"5",0,0,0.0079508,0,0,0,0,0.0079508,"absent","weak","ant-absent_mut-weak","Mutualist"
"6",0.525,0,0.0039754,0,0,0.0074643,0.525,0.0114397,"strong","weak","ant-strong_mut-weak","Antagonist-MW"
"7",0.15,0,0,0,0,0,0.15,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"8",0,0,0.0198484,0.0953238,0,0,0,0.1151722,"absent","strong","ant-absent_mut-strong","Mutualist"
"9",0,0,0.0218504,0,0,0,0,0.0218504,"absent","weak","ant-absent_mut-weak","Mutualist"
"10",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"11",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"12",0,0,0.0277992,0,0,0,0,0.0277992,"absent","weak","ant-absent_mut-weak","Mutualist"
"13",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"14",0,0,0.0159016,0.0476762,0,0,0,0.0635778,"absent","strong","ant-absent_mut-strong","Mutualist"
"15",0,0,0,0.0159016,0,0,0,0.0159016,"absent","weak","ant-absent_mut-weak","Mutualist"
"16",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"17",0,0,0.0298012,0.0159016,0,0,0,0.0457028,"absent","weak","ant-absent_mut-weak","Mutualist"
"18",0.0375,0,0,0.0119262,0,0,0.0375,0.0119262,"weak","weak","ant-weak_mut-weak","Mutualist-Antagonist"
"19",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"20",0,0,0,0.1906762,0,0,0,0.1906762,"absent","strong","ant-absent_mut-strong","Mutualist"
"21",0,0,0,0.2700984,0,0,0,0.2700984,"absent","strong","ant-absent_mut-strong","Mutualist"
"22",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"23",0.025,0,0,0,0,0,0.025,0,"weak","absent","ant-weak_mut-absent","Antagonist"
"24",0.0313,0,0,0.0715,0,0,0.0313,0.0715,"weak","strong","ant-weak_mut-strong","Mutualist-AW"
"25",0.0438,0,0,0.03575,0,0.0161637,0.0438,0.0519137,"weak","strong","ant-weak_mut-strong","Mutualist-AW"
"26",0.5063,0,0,0.0555984,0,0,0.5063,0.0555984,"strong","strong","ant-strong_mut-strong","Mutualist-Antagonist"
"27",0,0,0,0.0019734,0,0,0,0.0019734,"absent","weak","ant-absent_mut-weak","Mutualist"
"28",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"29",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"30",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"31",0.025,0,0.0238238,0,0,0,0.025,0.0238238,"weak","weak","ant-weak_mut-weak","Mutualist-Antagonist"
"32",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"33",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"34",0,0.0208,0.1688258,0.1291004,0,0,0.0208,0.2979262,"weak","strong","ant-weak_mut-strong","Mutualist-AW"
"35",0.0938,0,0,0,0,0,0.0938,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"36",0,0,0.0159016,0.0496496,0,0.0049762,0,0.0705274,"absent","strong","ant-absent_mut-strong","Mutualist"
"37",0.0188,0,0.0198484,0,0,0,0.0188,0.0198484,"weak","weak","ant-weak_mut-weak","Mutualist-Antagonist"
"38",0,0,0.0258258,0,0,0,0,0.0258258,"absent","weak","ant-absent_mut-weak","Mutualist"
"39",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"40",0.1875,0,0,0,0,0.0783125,0.1875,0.0783125,"strong","strong","ant-strong_mut-strong","Mutualist-Antagonist"
"41",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"42",0,0.0278,0.32175,0.0159016,0,0,0.0278,0.3376516,"weak","strong","ant-weak_mut-strong","Mutualist-AW"
"43",0,0,0,0.0258258,0,0,0,0.0258258,"absent","weak","ant-absent_mut-weak","Mutualist"
"44",0,0,0.1310738,0,0,0,0,0.1310738,"absent","strong","ant-absent_mut-strong","Mutualist"
"45",0.075,0,0.1191762,0.089375,0.0024881,0,0.075,0.2110393,"strong","strong","ant-strong_mut-strong","Mutualist-Antagonist"
"46",0,0,0.0079508,0.1112254,0,0,0,0.1191762,"absent","strong","ant-absent_mut-strong","Mutualist"
"47",0,0.0069,0,0,0,0,0.0069,0,"weak","absent","ant-weak_mut-absent","Antagonist"
"48",0.0749,0.0278,0.0079508,0,0,0,0.1027,0.0079508,"strong","weak","ant-strong_mut-weak","Antagonist-MW"
"49",0.1058,0,0,0,0,0,0.1058,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"50",0.2063,0,0,0,0,0,0.2063,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"51",7.35,0.0418,0,0,0,0.0123868,7.3918,0.0123868,"strong","weak","ant-strong_mut-weak","Antagonist-MW"
"52",0,0.1531,0,0,0,0,0.1531,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"53",0.0749,0.1729,0,0,0,0,0.2478,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"54",0.6248,0,0,0,0,0,0.6248,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"55",0.0501,0.0968,0,0,0,0,0.1469,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"56",0.0251,0.0553,0,0,0,0,0.0804,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"57",0.1688,0.7298,0.0199056,0,0,0,0.8986,0.0199056,"strong","weak","ant-strong_mut-weak","Antagonist-MW"
"58",0.056,0,0,0,0,0,0.056,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"59",0,0,0,0,0,0.0024881,0,0.0024881,"absent","weak","ant-absent_mut-weak","Mutualist"
"60",1.3875,0,0,0,0,0.0634018,1.3875,0.0634018,"strong","strong","ant-strong_mut-strong","Mutualist-Antagonist"
"61",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"62",0.2129,0,0,0,0,0,0.2129,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"63",0.6993,0,0,0,0,0,0.6993,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"64",6.6224,0,0,0,0,0,6.6224,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"65",4.0664,0,0,0,0,0,4.0664,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"66",0,0,0,0,0,0.0323811,0,0.0323811,"absent","weak","ant-absent_mut-weak","Mutualist"
"67",0.3439,0.7298,0.0476762,0.0573716,0,0,1.0737,0.1050478,"strong","strong","ant-strong_mut-strong","Mutualist-Antagonist"
"68",1.1259,0,0,0,0,0,1.1259,0,"strong","absent","ant-strong_mut-absent","Antagonist"
"69",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","No_Interaction"
"70",0.0563,0,0,0,0,0,0.0563,0,"strong","absent","ant-strong_mut-absent","Antagonist"
