,deer_a,wildb,rabbit,rat,fox,badger,ant,mut,class_ant,class_mut,combination,motif,inf_s,size_s,sincr_s,fruits_s,fruit_set_s,del.area_s,nn_s,dens_s,pop
1,0,0,0.0039754,0,0,0,0,0.0039754,absent,weak,ant-absent_mut-weak,Mutualist,0.69950647,0.80940333,6.73553265,1.87135342,0.84590459,0.36264374,1.28377122,0.83384501,Matasgordas
2,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,1.12344979,0.87338779,6.73553265,1.31954408,0.95796887,0.6819574,1.72150768,0.27794834,Matasgordas
3,0.0063,0,0,0,0,0,0.0063,0,weak,absent,ant-weak_mut-absent,Antagonist,0.48753481,0.51667446,6.73553265,2.15925394,0.68027292,0.05456251,0.54942304,1.94563836,Matasgordas
4,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,0.97506963,0.90138098,5.91002241,1.2595648,0.79365174,1.5295547,1.5770823,0.55589668,Matasgordas
5,0,0,0.0079508,0,0,0,0,0.0079508,absent,weak,ant-absent_mut-weak,Mutualist,0.72070364,0.73902043,5.91002241,0.53981349,0.25140521,0.51013656,2.18475721,0.27794834,Matasgordas
6,0.525,0,0.0039754,0,0,0.0074643,0.525,0.0114397,strong,weak,ant-strong_mut-weak,Mutualist-Antagonist,0.40274615,0.40790089,6.73553265,2.19524151,0.57133066,0.56188086,1.31044398,0.55589668,Matasgordas
7,0.15,0,0,0,0,0,0.15,0,strong,absent,ant-strong_mut-absent,Antagonist,0.21197166,0.67183676,5.91002241,0.77973059,0.10680614,0.58043203,2.02837816,0.27794834,Matasgordas
8,0,0,0.0198484,0.0953238,0,0,0,0.1151722,absent,strong,ant-absent_mut-strong,Mutualist,0.91147813,0.67983481,6.73553265,1.65542802,0.97505785,1.14357687,4.26166372,0.27794834,Matasgordas
9,0,0,0.0218504,0,0,0,0,0.0218504,absent,weak,ant-absent_mut-weak,Mutualist,1.31422428,0.83979595,6.73553265,2.56711302,2.18015968,0.15790179,1.32828528,1.11179335,Matasgordas
10,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,0.36035182,1.61880666,6.73553265,1.34353579,0.31285982,0.76155605,0.42114404,1.11179335,Matasgordas
11,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,0.57232348,0.69903015,6.73553265,1.21158138,0.44809281,0.09213201,1.05888155,1.66769003,Matasgordas
12,0,0,0.0277992,0,0,0,0,0.0277992,absent,weak,ant-absent_mut-weak,Mutualist,0.69950647,1.47804087,6.73553265,3.75470269,1.69723164,0.17214607,0.00089207,1.11179335,Matasgordas
13,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,1.99253359,1.53082804,5.91002241,2.48314204,3.19728272,0.34666734,1.37146124,0.55589668,Matasgordas
14,0,0,0.0159016,0.0476762,0,0,0,0.0635778,absent,strong,ant-absent_mut-strong,Mutualist,0.127183,1.14052288,6.73553265,1.28355651,0.1054916,0.46519951,4.31795304,0.27794834,Matasgordas
15,0,0,0,0.0159016,0,0,0,0.0159016,absent,weak,ant-absent_mut-weak,Mutualist,0.50873198,1.42525369,5.06348006,1.79937829,0.59154167,3.51497419,4.03757691,0.27794834,Matasgordas
16,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,0.40274615,0.51667446,6.73553265,1.43950263,0.37464306,0.82956404,0.94871148,0.55589668,Matasgordas
17,0,0,0.0298012,0.0159016,0,0,0,0.0457028,absent,weak,ant-absent_mut-weak,Mutualist,0.48753481,0.51667446,5.91002241,0.64777618,0.20408188,0.04557421,0.94871148,0.83384501,Matasgordas
18,0.0375,0,0,0.0119262,0,0,0.0375,0.0119262,weak,weak,ant-weak_mut-weak,Mutualist-Antagonist,0.16957733,0.49907873,6.73553265,3.95863223,0.43379722,0.08643301,0.94202099,1.11179335,Matasgordas
19,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,0.23316882,0.48948107,6.73553265,1.53546947,0.23135852,0.05036698,0.58519486,0.83384501,Matasgordas
20,0,0,0,0.1906762,0,0,0,0.1906762,absent,strong,ant-absent_mut-strong,Mutualist,0.59352064,0.9597668,6.73553265,0.11995855,0.0460088,0.00855268,0.12649486,0.83384501,Matasgordas
21,0,0,0,0.2700984,0,0,0,0.2700984,absent,strong,ant-absent_mut-strong,Mutualist,0.08478866,0.10557435,6.73553265,1.11561454,0.06112597,0.68716213,0.33505974,0.83384501,Matasgordas
22,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,0.14838016,1.51963076,6.73553265,1.05563526,0.10121935,2.98410148,2.2392624,0.27794834,Matasgordas
23,0.025,0,0,0,0,0,0.025,0,weak,absent,ant-weak_mut-absent,Antagonist,0.57232348,0.40310206,5.06348006,4.06659493,1.50399469,1.56283456,2.2392624,0.27794834,Matasgordas
24,0.0313,0,0,0.0715,0,0,0.0313,0.0715,weak,strong,ant-weak_mut-strong,Mutualist-Antagonist,0.16957733,0.99335864,6.73553265,2.19524151,0.24056028,2.90275592,3.03739325,0.27794834,Matasgordas
25,0.0438,0,0,0.03575,0,0.0161637,0.0438,0.0519137,weak,strong,ant-weak_mut-strong,Mutualist-Antagonist,0.38154899,1.25249567,3.37565337,3.11892236,0.76900417,3.85751155,0.23835986,1.94563836,Matasgordas
26,0.5063,0,0,0.0555984,0,0,0.5063,0.0555984,strong,strong,ant-strong_mut-strong,Mutualist-Antagonist,2.50126557,1.17571433,3.37565337,2.95098039,4.76979765,0.15220871,0.15852001,3.33538005,Matasgordas
27,0,0,0,0.0019734,0,0,0,0.0019734,absent,weak,ant-absent_mut-weak,Mutualist,0.44514048,1.08133726,6.73553265,2.20723737,0.63492139,0.02962048,0.92426889,0.55589668,Matasgordas
28,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,0.21197166,0.97256369,6.73553265,1.91933684,0.26290741,0.01430046,0.18715531,2.77948338,Matasgordas
29,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,0.27556316,0.42549661,6.73553265,0.81571816,0.14525634,0.3083158,0.25423862,3.05743171,Matasgordas
30,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,3.13718054,2.29544226,3.02073654,1.59544875,3.23441839,1.57594002,0.60000314,0.83384501,Matasgordas
31,0.025,0,0.0238238,0,0,0,0.025,0.0238238,weak,weak,ant-weak_mut-weak,Mutualist-Antagonist,0.99626679,0.99335864,6.73553265,1.30754822,0.84179666,5.36013783,0.55959258,0.55589668,Matasgordas
32,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,0.14838016,1.72438101,6.68821041,1.58345289,0.15182903,0.21008417,0.68983412,1.66769003,Matasgordas
33,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,0.42394332,0.4095005,3.02073654,2.30320421,0.63097778,0.09513944,0.80223436,1.94563836,Matasgordas
34,0,0.0208,0.1688258,0.1291004,0,0,0.0208,0.2979262,weak,strong,ant-weak_mut-strong,Mutualist-Antagonist,0.82668947,1.15172016,6.73553265,1.73939901,0.92921337,0.06241593,0.80223436,2.2235867,Matasgordas
35,0.0938,0,0,0,0,0,0.0938,0,strong,absent,ant-strong_mut-absent,Antagonist,1.10225262,1.72758023,6.73553265,3.16690579,2.25574556,0.56063068,2.0289134,0.27794834,Matasgordas
36,0,0,0.0159016,0.0496496,0,0.0049762,0,0.0705274,absent,strong,ant-absent_mut-strong,Mutualist,0.08478866,1.4684432,9.11741891,2.42316276,0.13276824,1.6100443,1.69429969,0.27794834,Matasgordas
37,0.0188,0,0.0198484,0,0,0,0.0188,0.0198484,weak,weak,ant-weak_mut-weak,Mutualist-Antagonist,0.21197166,0.99975708,6.73553265,0.62378447,0.08544491,1.56318985,0.78608797,0.55589668,Matasgordas
38,0,0,0.0258258,0,0,0,0,0.0258258,absent,weak,ant-absent_mut-weak,Mutualist,0.67830931,0.7198251,5.91002241,2.19524151,0.96224111,0.03751382,0.136486,2.50153504,Matasgordas
39,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,0.31795749,0.35991255,6.73553265,1.31954408,0.27112327,0.03406683,0.2608399,3.33538005,Matasgordas
40,0.1875,0,0,0,0,0.0783125,0.1875,0.0783125,strong,strong,ant-strong_mut-strong,Mutualist-Antagonist,1.82295626,1.94512738,6.73553265,3.59875657,4.23938196,0.00215049,0.17243623,2.2235867,Matasgordas
41,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,0.19077449,0.46188777,6.73553265,2.84301769,0.35048844,0.01986443,0.05584329,2.77948338,Matasgordas
42,0,0.0278,0.32175,0.0159016,0,0,0.0278,0.3376516,weak,strong,ant-weak_mut-strong,Mutualist-Antagonist,0.82668947,0.60465308,6.73553265,0.85170572,0.45499413,0.01349871,0.70473161,2.2235867,Matasgordas
43,0,0,0,0.0258258,0,0,0,0.0258258,absent,weak,ant-absent_mut-weak,Mutualist,0.127183,0.29112926,6.73553265,0.5638052,0.04633743,0.04407074,0.49598833,1.11179335,Matasgordas
44,0,0,0.1310738,0,0,0,0,0.1310738,absent,strong,ant-absent_mut-strong,Mutualist,0.61471781,0.52467252,6.73553265,1.91933684,0.76243148,0.24272884,0.72212689,0.83384501,Matasgordas
45,0.075,0,0.1191762,0.089375,0.0024881,0,0.075,0.2110393,strong,strong,ant-strong_mut-strong,Mutualist-Antagonist,1.84415343,1.29568518,5.91002241,2.50713375,2.98777838,0.08455552,0.31204445,2.2235867,Matasgordas
46,0,0,0.0079508,0.1112254,0,0,0,0.1191762,absent,strong,ant-absent_mut-strong,Mutualist,0.38154899,1.19011083,6.73553265,1.17559381,0.28985542,0.12106949,0.80384007,0.83384501,Matasgordas
47,0,0.0069,0,0,0,0,0.0069,0,weak,absent,ant-weak_mut-absent,Antagonist,0.25436599,0.35831294,6.81560326,0.21592539,0.0354925,0.13440854,0.15254317,1.11179335,Martinazo
48,0.0749,0.0278,0.0079508,0,0,0,0.1027,0.0079508,strong,weak,ant-strong_mut-weak,Mutualist-Antagonist,0.69950647,1.43973918,6.81560326,0.43185079,0.19520875,0.67312876,1.7600449,0.27794834,Martinazo
49,0.1058,0,0,0,0,0,0.1058,0,strong,absent,ant-strong_mut-absent,Antagonist,1.44140728,1.41405641,6.81560326,0.65977204,0.61454607,0.37792779,1.29902554,0.55589668,Martinazo
50,0.2063,0,0,0,0,0,0.2063,0,strong,absent,ant-strong_mut-absent,Antagonist,1.48380161,3.24202726,6.81560326,0.43185079,0.41407917,0.12307017,1.12150454,0.83384501,Martinazo
