,deer_a,wildb,rabbit,rat,fox,badger,deer_m,unkn
ER002H,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000
ER007H,0.082,0.028,0.028,0.000,0.000,0.000,0.001,0.000
ER028H,0.116,0.000,0.000,0.000,0.000,0.000,0.001,0.000
ER033H,0.227,0.000,0.000,0.000,0.000,0.000,0.003,0.000
ER036H,8.073,0.042,0.000,0.000,0.000,0.069,0.094,0.000
ER037H,0.000,0.153,0.000,0.000,0.000,0.000,0.000,0.000
ER044H,0.082,0.173,0.000,0.000,0.000,0.000,0.001,0.000
ER045H,0.686,0.000,0.000,0.000,0.000,0.000,0.008,0.000
ER047H,0.055,0.097,0.000,0.000,0.000,0.000,0.001,0.000
ER050H,0.028,0.055,0.000,0.000,0.000,0.000,0.000,0.000
ER052X,0.185,0.730,0.070,0.000,0.000,0.000,0.002,0.000
ER053H,0.062,0.000,0.000,0.000,0.000,0.000,0.001,0.000
ER061H,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000
ER067H,1.524,0.000,0.000,0.000,0.000,0.354,0.018,0.000
ER070H,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ER071M-H,0.234,0.000,0.000,0.000,0.000,0.000,0.003,0.390
ER072H,0.768,0.000,0.000,0.000,0.000,0.000,0.009,0.062
ER073H,7.274,0.000,0.000,0.000,0.000,0.000,0.085,0.111
ER074M-H,4.466,0.000,0.000,0.000,0.000,0.000,0.052,0.000
ER079H,0.000,0.000,0.000,0.000,0.000,0.181,0.000,0.000
ER080H,0.378,0.730,0.167,0.201,0.000,0.000,0.004,0.000
ER085H,1.237,0.000,0.000,0.000,0.000,0.000,0.014,0.000
ER086H,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ER090H,0.062,0.000,0.000,0.000,0.000,0.000,0.001,0.000
