,deer,wildboar,rabbit,rat,fox,badger,unknow
CHU0108,0,0,0.013888889,0,0,0,0
CHU0111,0,0,0,0,0,0,0
CHU096M,0.6798,0,0,0,0,0.111111111,0.425
CHU100,0,0,0,0,0,0,0.126666667
CHU105M,0,0,0.194444444,0,0,0.006944444,0
CHU114M,0.2884,0,0.013888889,0,0,0.041666667,0.02
EM001H,0.0618,0,0,0,0,0,0
EM003H,0,0,0.069444444,0,0,0,0
EM007,0,0,0.076388889,0,0,0,0
EM008,0,0,0.041666667,0,0,0,0
EM009,0,0,0,0,0,0,0
EM013,0,0,0.097222222,0,0,0,0
EM028,0,0,0,0,0,0,0.166666667
EM031,0,0,0.083333334,0.06,0,0,0
EM044,0,0,0,0.1275,0,0,0
EM054,0,0,0,0,0,0,0
EM060,0,0,0.104166667,0.056666667,0,0,0
EM062B,0.0412,0,0,0.0425,0,0,0
EM066H,0,0,0,0,0,0,0
EM083H,0,0,0,0.439166667,0,0,0
EM090H,0,0,0,0.935,0,0,0.0425
EM097H,0,0,0,0,0,0,0
EM117H,0.0412,0,0,0,0,0,0.1875
EM123H,0.034333333,0,0,0.099166667,0,0,0.033333333
EM128,0.048066666,0,0,0.125,0,0.090277777,0
EM133,0.5356,0,0,0.1925,0,0,0
EM136,0,0,0,0,0,0,0
EM138,0,0,0,0,0,0,0
EM142,0,0,0,0,0,0,0
EM155,0,0,0,0,0,0,0
EM160,0.027466667,0,0.083333334,0,0,0,0
EM163,0,0,0,0,0,0,0
EM171,0,0,0,0,0,0,0
EM190,0,0.020833333,0.590277778,0.166666667,0,0,0.070833333
EM193,0.054933333,0,0,0,0,0,0.006666667
EM199,0,0,0.138888889,0.083333333,0,0.277777778,0
EM227,0.0206,0,0.027777778,0,0,0,0.046666667
EM234,0,0,0.090277777,0,0,0,0
EM236,0,0,0,0,0,0,0
EM240,0.206,0,0,0,0,0.4375,0
EM270,0,0,0,0,0,0,0
EM291H,0,0.027777778,1.125,0.056666667,0,0,0
EM293,0,0,0,0.086666667,0,0,0
EM297H,0.2678,0,1.249999999,0,0,0,0
EM298H,0.1648,0,1.25,0.315,0.013888889,0,0
EM300H,0,0,0.083333333,0.375,0.013888889,0,0
ER002H,0.01373608,0.013883333,0,0,0,0,0
ER007H,0.0618,0.013891667,0.027783333,0,0,0,0
ER028H,0.11668664,0,0,0,0,0,0
ER033H,0.2266,0,0,0,0,0,0
ER036H,7.7456,0.041675,0.006941667,0,0,0.069416667,0
ER037H,0,0.152808333,0,0,0,0,0
ER044H,0.14419176,0.347291667,0,0,0,0,0
ER045H,0.61797528,0,0,0,0,0,0.00833
ER047H,0.05494432,0.097183333,0,0,0,0,0
ER050H,0.02747216,0.055533333,0,0,0,0,0
ER052X,0.1854,0.62505,0.069458333,0,0,0,0
ER053H,0.06177528,0,0,0,0,0,0
ER061H,0,0,0,0,0,0.013891667,0
ER067H,1.8128,0,0,0,0.055566667,0.270833333,0
ER070H,0.74152584,0,1.625,0,0.111133333,0,0
ER071M-H,0.6181236,0,0,0,0,0,0
ER072H,1.30477104,0,0,0,0,0,0
ER073H,8.17100648,0,0,0,0,0,0
ER074M-H,4.51800848,0,0,0,0,0,0
ER079H,0,0,0,0,0,0.180591667,0
ER080H,1.82642896,0.243075,2.833333333,0.201308333,0,0.5,0
ER085H,1.23609888,0,0,0,0,0,0
ER086H,0.98870112,0,0,0,0,0,0
ER090H,0.0618,0,0,0,0,0,0
