,deer_a,wildb,rabbit,rat,fox,badger,deer_m,unkn
CHU096M,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.417
CHU100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.132
CHU105M,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000
CHU0108,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000
CHU0111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CHU114M,0.577,0.000,0.014,0.000,0.000,0.042,0.007,0.063
EM001H,0.165,0.000,0.000,0.000,0.000,0.000,0.002,0.653
EM003H,0.000,0.000,0.069,0.333,0.000,0.000,0.000,0.000
EM007,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.000
EM008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EM009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EM013,0.000,0.000,0.097,0.000,0.000,0.000,0.000,0.000
EM028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.174
EM031,0.000,0.000,0.056,0.167,0.000,0.000,0.000,0.000
EM044,0.000,0.000,0.000,0.056,0.000,0.000,0.000,0.125
EM054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EM060,0.000,0.000,0.104,0.056,0.000,0.000,0.000,0.000
EM062B,0.041,0.000,0.000,0.042,0.000,0.000,0.000,0.000
EM066H,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EM083H,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000
EM090H,0.000,0.000,0.000,0.944,0.000,0.000,0.000,0.000
EM097H,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EM117H,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.167
EM123H,0.034,0.000,0.000,0.250,0.000,0.000,0.000,0.000
EM128,0.048,0.000,0.000,0.125,0.000,0.090,0.001,0.000
EM133,0.556,0.000,0.000,0.194,0.000,0.000,0.006,0.000
EM136,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000
EM138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EM142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EM155,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EM160,0.027,0.000,0.083,0.000,0.000,0.000,0.000,0.000
EM163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EM171,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.104
EM190,0.000,0.021,0.590,0.451,0.000,0.000,0.000,0.000
EM193,0.103,0.000,0.000,0.000,0.000,0.000,0.001,0.000
EM199,0.000,0.000,0.056,0.174,0.000,0.028,0.000,0.000
EM227,0.021,0.000,0.069,0.000,0.000,0.000,0.000,0.000
EM234,0.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000
EM236,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EM240,0.206,0.000,0.000,0.000,0.000,0.438,0.002,0.000
EM270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EM291H,0.000,0.028,1.125,0.056,0.000,0.000,0.000,0.000
EM293,0.000,0.000,0.000,0.090,0.000,0.000,0.000,0.000
EM297H,0.000,0.000,0.458,0.000,0.000,0.000,0.000,0.000
EM298H,0.082,0.000,0.417,0.313,0.014,0.000,0.001,0.000
EM300H,0.000,0.000,0.028,0.389,0.000,0.000,0.000,0.000
