plant,deer,wildboar,rabbit,rat,fox,badger,ant,mut,class_ant,class_mut,combination
1,0.000,0.007,0.000,0.000,0.000,0.000,0.007,0.000,weak,absent,ant-weak_mut-absent
2,0.083,0.028,0.005,0.000,0.000,0.000,0.111,0.005,strong,weak,ant-strong_mut-weak
3,0.118,0.000,0.000,0.000,0.000,0.000,0.118,0.000,strong,absent,ant-strong_mut-absent
4,0.229,0.000,0.000,0.000,0.000,0.000,0.229,0.000,strong,absent,ant-strong_mut-absent
5,8.167,0.042,0.000,0.000,0.000,0.069,8.209,0.069,strong,strong,ant-strong_mut-strong
6,0.000,0.153,0.000,0.000,0.000,0.000,0.153,0.000,strong,absent,ant-strong_mut-absent
7,0.083,0.173,0.000,0.000,0.000,0.000,0.256,0.000,strong,absent,ant-strong_mut-absent
8,0.694,0.000,0.000,0.000,0.000,0.000,0.694,0.000,strong,absent,ant-strong_mut-absent
9,0.056,0.097,0.000,0.000,0.000,0.000,0.153,0.000,strong,absent,ant-strong_mut-absent
10,0.028,0.055,0.000,0.000,0.000,0.000,0.083,0.000,strong,absent,ant-strong_mut-absent
11,0.188,0.730,0.013,0.000,0.000,0.000,0.918,0.013,strong,weak,ant-strong_mut-weak
12,0.062,0.000,0.000,0.000,0.000,0.000,0.062,0.000,strong,absent,ant-strong_mut-absent
13,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.014,absent,weak,ant-absent_mut-weak
14,1.542,0.000,0.000,0.000,0.000,0.354,1.542,0.354,strong,strong,ant-strong_mut-strong
15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,absent,absent,ant-absent_mut-absent
16,0.237,0.000,0.000,0.000,0.000,0.000,0.237,0.000,strong,absent,ant-strong_mut-absent
17,0.777,0.000,0.000,0.000,0.000,0.000,0.777,0.000,strong,absent,ant-strong_mut-absent
18,7.358,0.000,0.000,0.000,0.000,0.000,7.358,0.000,strong,absent,ant-strong_mut-absent
19,4.518,0.000,0.000,0.000,0.000,0.000,4.518,0.000,strong,absent,ant-strong_mut-absent
20,0.000,0.000,0.000,0.000,0.000,0.181,0.000,0.181,absent,strong,ant-absent_mut-strong
21,0.382,0.730,0.030,0.002,0.000,0.000,1.112,0.032,strong,strong,ant-strong_mut-strong
22,1.251,0.000,0.000,0.000,0.000,0.000,1.251,0.000,strong,absent,ant-strong_mut-absent
23,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,absent,absent,ant-absent_mut-absent
24,0.063,0.000,0.000,0.000,0.000,0.000,0.063,0.000,strong,absent,ant-strong_mut-absent
25,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,absent,weak,ant-absent_mut-weak
26,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,absent,absent,ant-absent_mut-absent
27,0.007,0.000,0.000,0.000,0.000,0.000,0.007,0.000,weak,absent,ant-weak_mut-absent
28,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,absent,absent,ant-absent_mut-absent
29,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.005,absent,weak,ant-absent_mut-weak
30,0.583,0.000,0.003,0.000,0.000,0.042,0.583,0.045,strong,strong,ant-strong_mut-strong
31,0.167,0.000,0.000,0.000,0.000,0.000,0.167,0.000,strong,absent,ant-strong_mut-absent
32,0.000,0.000,0.012,0.004,0.000,0.000,0.000,0.016,absent,weak,ant-absent_mut-weak
33,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.014,absent,weak,ant-absent_mut-weak
34,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,absent,absent,ant-absent_mut-absent
35,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,absent,absent,ant-absent_mut-absent
36,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.017,absent,weak,ant-absent_mut-weak
37,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,absent,absent,ant-absent_mut-absent
38,0.000,0.000,0.010,0.002,0.000,0.000,0.000,0.012,absent,weak,ant-absent_mut-weak
39,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,absent,weak,ant-absent_mut-weak
