deer,wildboar,rabbit,rat,fox,badger
0,0,0.014,0,0,0
0,0,0,0,0,0
0.007,0,0,0,0,0
0,0,0,0,0,0
0,0,0.028,0,0,0
0.583,0,0.014,0,0,0.042
0.167,0,0,0,0,0
0,0,0.069,0.333,0,0
0,0,0.076,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.097,0,0,0
0,0,0,0,0,0
0,0,0.056,0.167,0,0
0,0,0,0.056,0,0
0,0,0,0,0,0
0,0,0.104,0.056,0,0
0.042,0,0,0.042,0,0
0,0,0,0,0,0
0,0,0,0.667,0,0
0,0,0,0.944,0,0
0,0,0,0,0,0
0.028,0,0,0,0,0
0.035,0,0,0.25,0,0
0.049,0,0,0.125,0,0.09
0.563,0,0,0.194,0,0
0,0,0,0.007,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.028,0,0.083,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.021,0.59,0.451,0,0
0.104,0,0,0,0,0
0,0,0.056,0.174,0,0.028
0.021,0,0.069,0,0,0
0,0,0.09,0,0,0
0,0,0,0,0,0
0.208,0,0,0,0,0.438
0,0,0,0,0,0
0,0.028,1.125,0.056,0,0
0,0,0,0.09,0,0
0,0,0.458,0,0,0
0.083,0,0.417,0.313,0.014,0
0,0,0.028,0.389,0,0
