"","combination","count","freq","iteration"
"1","ant-absent_mut-absent",2,0.0833333333333333,"10000"
"2","ant-strong_mut-absent",12,0.5,"10000"
"3","ant-strong_mut-strong",2,0.0833333333333333,"10000"
"4","ant-strong_mut-weak",4,0.166666666666667,"10000"
"5","ant-weak_mut-absent",3,0.125,"10000"
"6","ant-weak_mut-weak",1,0.0416666666666667,"10000"
"7","ant-absent_mut-absent",4,0.166666666666667,"9999"
"8","ant-strong_mut-absent",9,0.375,"9999"
"9","ant-strong_mut-strong",2,0.0833333333333333,"9999"
"10","ant-strong_mut-weak",3,0.125,"9999"
"11","ant-weak_mut-absent",4,0.166666666666667,"9999"
"12","ant-weak_mut-weak",2,0.0833333333333333,"9999"
"13","ant-absent_mut-absent",2,0.0833333333333333,"9998"
"14","ant-absent_mut-strong",1,0.0416666666666667,"9998"
"15","ant-absent_mut-weak",2,0.0833333333333333,"9998"
"16","ant-strong_mut-absent",11,0.458333333333333,"9998"
"17","ant-strong_mut-strong",1,0.0416666666666667,"9998"
"18","ant-strong_mut-weak",1,0.0416666666666667,"9998"
"19","ant-weak_mut-absent",3,0.125,"9998"
"20","ant-weak_mut-weak",3,0.125,"9998"
"21","ant-absent_mut-absent",2,0.0833333333333333,"9997"
"22","ant-absent_mut-strong",1,0.0416666666666667,"9997"
"23","ant-absent_mut-weak",1,0.0416666666666667,"9997"
"24","ant-strong_mut-absent",12,0.5,"9997"
"25","ant-strong_mut-weak",2,0.0833333333333333,"9997"
"26","ant-weak_mut-absent",2,0.0833333333333333,"9997"
"27","ant-weak_mut-strong",1,0.0416666666666667,"9997"
"28","ant-weak_mut-weak",3,0.125,"9997"
"29","ant-absent_mut-absent",4,0.166666666666667,"9996"
"30","ant-absent_mut-weak",1,0.0416666666666667,"9996"
"31","ant-strong_mut-absent",10,0.416666666666667,"9996"
"32","ant-strong_mut-strong",1,0.0416666666666667,"9996"
"33","ant-strong_mut-weak",3,0.125,"9996"
"34","ant-weak_mut-absent",2,0.0833333333333333,"9996"
"35","ant-weak_mut-strong",1,0.0416666666666667,"9996"
"36","ant-weak_mut-weak",2,0.0833333333333333,"9996"
"37","ant-absent_mut-absent",2,0.0833333333333333,"9995"
"38","ant-absent_mut-strong",1,0.0416666666666667,"9995"
"39","ant-absent_mut-weak",1,0.0416666666666667,"9995"
"40","ant-strong_mut-absent",11,0.458333333333333,"9995"
"41","ant-strong_mut-weak",4,0.166666666666667,"9995"
"42","ant-weak_mut-absent",4,0.166666666666667,"9995"
"43","ant-weak_mut-strong",1,0.0416666666666667,"9995"
"44","ant-absent_mut-absent",2,0.0833333333333333,"9994"
"45","ant-absent_mut-weak",2,0.0833333333333333,"9994"
"46","ant-strong_mut-absent",12,0.5,"9994"
"47","ant-strong_mut-strong",1,0.0416666666666667,"9994"
"48","ant-strong_mut-weak",2,0.0833333333333333,"9994"
"49","ant-weak_mut-absent",3,0.125,"9994"
"50","ant-weak_mut-strong",1,0.0416666666666667,"9994"
"51","ant-weak_mut-weak",1,0.0416666666666667,"9994"
"52","ant-absent_mut-absent",3,0.125,"9993"
"53","ant-strong_mut-absent",9,0.375,"9993"
"54","ant-strong_mut-strong",2,0.0833333333333333,"9993"
"55","ant-strong_mut-weak",4,0.166666666666667,"9993"
"56","ant-weak_mut-absent",4,0.166666666666667,"9993"
"57","ant-weak_mut-weak",2,0.0833333333333333,"9993"
"58","ant-absent_mut-absent",2,0.0833333333333333,"9992"
"59","ant-absent_mut-weak",1,0.0416666666666667,"9992"
"60","ant-strong_mut-absent",12,0.5,"9992"
"61","ant-strong_mut-strong",1,0.0416666666666667,"9992"
"62","ant-strong_mut-weak",3,0.125,"9992"
"63","ant-weak_mut-absent",3,0.125,"9992"
"64","ant-weak_mut-strong",1,0.0416666666666667,"9992"
"65","ant-weak_mut-weak",1,0.0416666666666667,"9992"
"66","ant-absent_mut-absent",2,0.0833333333333333,"9991"
"67","ant-absent_mut-weak",2,0.0833333333333333,"9991"
"68","ant-strong_mut-absent",11,0.458333333333333,"9991"
"69","ant-strong_mut-strong",2,0.0833333333333333,"9991"
"70","ant-strong_mut-weak",4,0.166666666666667,"9991"
"71","ant-weak_mut-absent",3,0.125,"9991"
"72","ant-absent_mut-absent",2,0.0833333333333333,"9990"
"73","ant-absent_mut-weak",1,0.0416666666666667,"9990"
"74","ant-strong_mut-absent",11,0.458333333333333,"9990"
"75","ant-strong_mut-strong",1,0.0416666666666667,"9990"
"76","ant-strong_mut-weak",2,0.0833333333333333,"9990"
"77","ant-weak_mut-absent",4,0.166666666666667,"9990"
"78","ant-weak_mut-strong",1,0.0416666666666667,"9990"
"79","ant-weak_mut-weak",2,0.0833333333333333,"9990"
"80","ant-absent_mut-absent",4,0.166666666666667,"9989"
"81","ant-absent_mut-strong",1,0.0416666666666667,"9989"
"82","ant-absent_mut-weak",1,0.0416666666666667,"9989"
"83","ant-strong_mut-absent",14,0.583333333333333,"9989"
"84","ant-strong_mut-strong",1,0.0416666666666667,"9989"
"85","ant-strong_mut-weak",1,0.0416666666666667,"9989"
"86","ant-weak_mut-absent",1,0.0416666666666667,"9989"
"87","ant-weak_mut-weak",1,0.0416666666666667,"9989"
"88","ant-absent_mut-absent",4,0.166666666666667,"9988"
"89","ant-strong_mut-absent",11,0.458333333333333,"9988"
"90","ant-strong_mut-strong",1,0.0416666666666667,"9988"
"91","ant-strong_mut-weak",4,0.166666666666667,"9988"
"92","ant-weak_mut-absent",2,0.0833333333333333,"9988"
"93","ant-weak_mut-strong",1,0.0416666666666667,"9988"
"94","ant-weak_mut-weak",1,0.0416666666666667,"9988"
"95","ant-absent_mut-absent",2,0.0833333333333333,"9987"
"96","ant-absent_mut-weak",2,0.0833333333333333,"9987"
"97","ant-strong_mut-absent",10,0.416666666666667,"9987"
"98","ant-strong_mut-strong",2,0.0833333333333333,"9987"
"99","ant-strong_mut-weak",2,0.0833333333333333,"9987"
"100","ant-weak_mut-absent",4,0.166666666666667,"9987"
"101","ant-weak_mut-weak",2,0.0833333333333333,"9987"
"102","ant-absent_mut-absent",3,0.125,"9986"
"103","ant-strong_mut-absent",9,0.375,"9986"
"104","ant-strong_mut-strong",2,0.0833333333333333,"9986"
"105","ant-strong_mut-weak",3,0.125,"9986"
"106","ant-weak_mut-absent",5,0.208333333333333,"9986"
"107","ant-weak_mut-weak",2,0.0833333333333333,"9986"
"108","ant-absent_mut-absent",3,0.125,"9985"
"109","ant-absent_mut-strong",1,0.0416666666666667,"9985"
"110","ant-strong_mut-absent",11,0.458333333333333,"9985"
"111","ant-strong_mut-weak",3,0.125,"9985"
"112","ant-weak_mut-absent",2,0.0833333333333333,"9985"
"113","ant-weak_mut-strong",1,0.0416666666666667,"9985"
"114","ant-weak_mut-weak",3,0.125,"9985"
"115","ant-absent_mut-absent",2,0.0833333333333333,"9984"
"116","ant-absent_mut-strong",1,0.0416666666666667,"9984"
"117","ant-strong_mut-absent",10,0.416666666666667,"9984"
"118","ant-strong_mut-weak",3,0.125,"9984"
"119","ant-weak_mut-absent",5,0.208333333333333,"9984"
"120","ant-weak_mut-strong",1,0.0416666666666667,"9984"
"121","ant-weak_mut-weak",2,0.0833333333333333,"9984"
"122","ant-absent_mut-absent",2,0.0833333333333333,"9983"
"123","ant-absent_mut-strong",1,0.0416666666666667,"9983"
"124","ant-absent_mut-weak",1,0.0416666666666667,"9983"
"125","ant-strong_mut-absent",11,0.458333333333333,"9983"
"126","ant-strong_mut-strong",1,0.0416666666666667,"9983"
"127","ant-strong_mut-weak",3,0.125,"9983"
"128","ant-weak_mut-absent",4,0.166666666666667,"9983"
"129","ant-weak_mut-weak",1,0.0416666666666667,"9983"
"130","ant-absent_mut-absent",2,0.0833333333333333,"9982"
"131","ant-absent_mut-weak",1,0.0416666666666667,"9982"
"132","ant-strong_mut-absent",10,0.416666666666667,"9982"
"133","ant-strong_mut-strong",2,0.0833333333333333,"9982"
"134","ant-strong_mut-weak",2,0.0833333333333333,"9982"
"135","ant-weak_mut-absent",5,0.208333333333333,"9982"
"136","ant-weak_mut-weak",2,0.0833333333333333,"9982"
"137","ant-absent_mut-absent",3,0.125,"9981"
"138","ant-strong_mut-absent",11,0.458333333333333,"9981"
"139","ant-strong_mut-strong",1,0.0416666666666667,"9981"
"140","ant-strong_mut-weak",2,0.0833333333333333,"9981"
"141","ant-weak_mut-absent",3,0.125,"9981"
"142","ant-weak_mut-strong",1,0.0416666666666667,"9981"
"143","ant-weak_mut-weak",3,0.125,"9981"
"144","ant-absent_mut-absent",3,0.125,"9980"
"145","ant-absent_mut-weak",2,0.0833333333333333,"9980"
"146","ant-strong_mut-absent",11,0.458333333333333,"9980"
