"","Motif","count","freq","iteration"
"1","Absent",14,0.2,"10000"
"2","Mutualism_Antagonism",8,0.114285714285714,"10000"
"3","StrongW_Antagonism",26,0.371428571428571,"10000"
"4","StrongW_Mutualism",22,0.314285714285714,"10000"
"5","Absent",14,0.2,"9999"
"6","Mutualism_Antagonism",8,0.114285714285714,"9999"
"7","StrongW_Antagonism",27,0.385714285714286,"9999"
"8","StrongW_Mutualism",21,0.3,"9999"
"9","Absent",16,0.228571428571429,"9998"
"10","Mutualism_Antagonism",13,0.185714285714286,"9998"
"11","StrongW_Antagonism",20,0.285714285714286,"9998"
"12","StrongW_Mutualism",21,0.3,"9998"
"13","Absent",16,0.228571428571429,"9997"
"14","Mutualism_Antagonism",9,0.128571428571429,"9997"
"15","StrongW_Antagonism",27,0.385714285714286,"9997"
"16","StrongW_Mutualism",18,0.257142857142857,"9997"
"17","Absent",18,0.257142857142857,"9996"
"18","Mutualism_Antagonism",14,0.2,"9996"
"19","StrongW_Antagonism",21,0.3,"9996"
"20","StrongW_Mutualism",17,0.242857142857143,"9996"
"21","Absent",15,0.214285714285714,"9995"
"22","Mutualism_Antagonism",8,0.114285714285714,"9995"
"23","StrongW_Antagonism",27,0.385714285714286,"9995"
"24","StrongW_Mutualism",20,0.285714285714286,"9995"
"25","Absent",17,0.242857142857143,"9994"
"26","Mutualism_Antagonism",8,0.114285714285714,"9994"
"27","StrongW_Antagonism",26,0.371428571428571,"9994"
"28","StrongW_Mutualism",19,0.271428571428571,"9994"
"29","Absent",18,0.257142857142857,"9993"
"30","Mutualism_Antagonism",11,0.157142857142857,"9993"
"31","StrongW_Antagonism",23,0.328571428571429,"9993"
"32","StrongW_Mutualism",18,0.257142857142857,"9993"
"33","Absent",18,0.257142857142857,"9992"
"34","Mutualism_Antagonism",14,0.2,"9992"
"35","StrongW_Antagonism",21,0.3,"9992"
"36","StrongW_Mutualism",17,0.242857142857143,"9992"
"37","Absent",11,0.157142857142857,"9991"
"38","Mutualism_Antagonism",8,0.114285714285714,"9991"
"39","StrongW_Antagonism",28,0.4,"9991"
"40","StrongW_Mutualism",23,0.328571428571429,"9991"
"41","Absent",10,0.142857142857143,"9990"
"42","Mutualism_Antagonism",10,0.142857142857143,"9990"
"43","StrongW_Antagonism",25,0.357142857142857,"9990"
"44","StrongW_Mutualism",25,0.357142857142857,"9990"
"45","Absent",16,0.228571428571429,"9989"
"46","Mutualism_Antagonism",10,0.142857142857143,"9989"
"47","StrongW_Antagonism",26,0.371428571428571,"9989"
"48","StrongW_Mutualism",18,0.257142857142857,"9989"
"49","Absent",18,0.257142857142857,"9988"
"50","Mutualism_Antagonism",8,0.114285714285714,"9988"
"51","StrongW_Antagonism",27,0.385714285714286,"9988"
"52","StrongW_Mutualism",17,0.242857142857143,"9988"
"53","Absent",18,0.257142857142857,"9987"
"54","Mutualism_Antagonism",9,0.128571428571429,"9987"
"55","StrongW_Antagonism",25,0.357142857142857,"9987"
"56","StrongW_Mutualism",18,0.257142857142857,"9987"
"57","Absent",11,0.157142857142857,"9986"
"58","Mutualism_Antagonism",13,0.185714285714286,"9986"
"59","StrongW_Antagonism",25,0.357142857142857,"9986"
"60","StrongW_Mutualism",21,0.3,"9986"
"61","Absent",16,0.228571428571429,"9985"
"62","Mutualism_Antagonism",12,0.171428571428571,"9985"
