"","Motif","count","freq","iteration"
"1","Absent",8,0.114285714285714,"10000"
"2","Mutualism_Antagonism",13,0.185714285714286,"10000"
"3","StrongW_Antagonism",26,0.371428571428571,"10000"
"4","StrongW_Mutualism",23,0.328571428571429,"10000"
"5","Absent",13,0.185714285714286,"9999"
"6","Mutualism_Antagonism",8,0.114285714285714,"9999"
"7","StrongW_Antagonism",24,0.342857142857143,"9999"
"8","StrongW_Mutualism",25,0.357142857142857,"9999"
"9","Absent",9,0.128571428571429,"9998"
"10","Mutualism_Antagonism",14,0.2,"9998"
"11","StrongW_Antagonism",23,0.328571428571429,"9998"
"12","StrongW_Mutualism",24,0.342857142857143,"9998"
"13","Absent",10,0.142857142857143,"9997"
"14","Mutualism_Antagonism",12,0.171428571428571,"9997"
"15","StrongW_Antagonism",23,0.328571428571429,"9997"
"16","StrongW_Mutualism",25,0.357142857142857,"9997"
"17","Absent",16,0.228571428571429,"9996"
"18","Mutualism_Antagonism",12,0.171428571428571,"9996"
"19","StrongW_Antagonism",22,0.314285714285714,"9996"
"20","StrongW_Mutualism",20,0.285714285714286,"9996"
"21","Absent",9,0.128571428571429,"9995"
"22","Mutualism_Antagonism",15,0.214285714285714,"9995"
"23","StrongW_Antagonism",22,0.314285714285714,"9995"
"24","StrongW_Mutualism",24,0.342857142857143,"9995"
"25","Absent",12,0.171428571428571,"9994"
"26","Mutualism_Antagonism",14,0.2,"9994"
"27","StrongW_Antagonism",23,0.328571428571429,"9994"
"28","StrongW_Mutualism",21,0.3,"9994"
"29","Absent",8,0.114285714285714,"9993"
"30","Mutualism_Antagonism",16,0.228571428571429,"9993"
"31","StrongW_Antagonism",20,0.285714285714286,"9993"
"32","StrongW_Mutualism",26,0.371428571428571,"9993"
"33","Absent",11,0.157142857142857,"9992"
"34","Mutualism_Antagonism",11,0.157142857142857,"9992"
"35","StrongW_Antagonism",26,0.371428571428571,"9992"
"36","StrongW_Mutualism",22,0.314285714285714,"9992"
"37","Absent",12,0.171428571428571,"9991"
"38","Mutualism_Antagonism",9,0.128571428571429,"9991"
"39","StrongW_Antagonism",26,0.371428571428571,"9991"
"40","StrongW_Mutualism",23,0.328571428571429,"9991"
"41","Absent",7,0.1,"9990"
"42","Mutualism_Antagonism",13,0.185714285714286,"9990"
"43","StrongW_Antagonism",20,0.285714285714286,"9990"
"44","StrongW_Mutualism",30,0.428571428571429,"9990"
"45","Absent",11,0.157142857142857,"9989"
"46","Mutualism_Antagonism",13,0.185714285714286,"9989"
"47","StrongW_Antagonism",20,0.285714285714286,"9989"
"48","StrongW_Mutualism",26,0.371428571428571,"9989"
"49","Absent",12,0.171428571428571,"9988"
"50","Mutualism_Antagonism",12,0.171428571428571,"9988"
"51","StrongW_Antagonism",22,0.314285714285714,"9988"
"52","StrongW_Mutualism",24,0.342857142857143,"9988"
"53","Absent",10,0.142857142857143,"9987"
"54","Mutualism_Antagonism",13,0.185714285714286,"9987"
"55","StrongW_Antagonism",23,0.328571428571429,"9987"
"56","StrongW_Mutualism",24,0.342857142857143,"9987"
"57","Absent",13,0.185714285714286,"9986"
"58","Mutualism_Antagonism",12,0.171428571428571,"9986"
"59","StrongW_Antagonism",23,0.328571428571429,"9986"
"60","StrongW_Mutualism",22,0.314285714285714,"9986"
"61","Absent",11,0.157142857142857,"9985"
"62","Mutualism_Antagonism",12,0.171428571428571,"9985"
"63","StrongW_Antagonism",21,0.3,"9985"
"64","StrongW_Mutualism",26,0.371428571428571,"9985"
"65","Absent",10,0.142857142857143,"9984"
"66","Mutualism_Antagonism",14,0.2,"9984"
"67","StrongW_Antagonism",20,0.285714285714286,"9984"
"68","StrongW_Mutualism",26,0.371428571428571,"9984"
"69","Absent",15,0.214285714285714,"9983"
"70","Mutualism_Antagonism",10,0.142857142857143,"9983"
"71","StrongW_Antagonism",22,0.314285714285714,"9983"
"72","StrongW_Mutualism",23,0.328571428571429,"9983"
"73","Absent",11,0.157142857142857,"9982"
"74","Mutualism_Antagonism",14,0.2,"9982"
"75","StrongW_Antagonism",23,0.328571428571429,"9982"
"76","StrongW_Mutualism",22,0.314285714285714,"9982"
"77","Absent",10,0.142857142857143,"9981"
"78","Mutualism_Antagonism",11,0.157142857142857,"9981"
"79","StrongW_Antagonism",22,0.314285714285714,"9981"
"80","StrongW_Mutualism",27,0.385714285714286,"9981"
"81","Absent",13,0.185714285714286,"9980"
"82","Mutualism_Antagonism",16,0.228571428571429,"9980"
"83","StrongW_Antagonism",21,0.3,"9980"
"84","StrongW_Mutualism",20,0.285714285714286,"9980"
"85","Absent",9,0.128571428571429,"9979"
"86","Mutualism_Antagonism",11,0.157142857142857,"9979"
"87","StrongW_Antagonism",24,0.342857142857143,"9979"
"88","StrongW_Mutualism",26,0.371428571428571,"9979"
"89","Absent",7,0.1,"9978"
"90","Mutualism_Antagonism",12,0.171428571428571,"9978"
"91","StrongW_Antagonism",23,0.328571428571429,"9978"
"92","StrongW_Mutualism",28,0.4,"9978"
"93","Absent",12,0.171428571428571,"9977"
"94","Mutualism_Antagonism",10,0.142857142857143,"9977"
"95","StrongW_Antagonism",25,0.357142857142857,"9977"
"96","StrongW_Mutualism",23,0.328571428571429,"9977"
"97","Absent",10,0.142857142857143,"9976"
"98","Mutualism_Antagonism",12,0.171428571428571,"9976"
"99","StrongW_Antagonism",24,0.342857142857143,"9976"
"100","StrongW_Mutualism",24,0.342857142857143,"9976"
"101","Absent",8,0.114285714285714,"9975"
"102","Mutualism_Antagonism",9,0.128571428571429,"9975"
"103","StrongW_Antagonism",24,0.342857142857143,"9975"
"104","StrongW_Mutualism",29,0.414285714285714,"9975"
"105","Absent",5,0.0714285714285714,"9974"
"106","Mutualism_Antagonism",11,0.157142857142857,"9974"
"107","StrongW_Antagonism",25,0.357142857142857,"9974"
"108","StrongW_Mutualism",29,0.414285714285714,"9974"
"109","Absent",12,0.171428571428571,"9973"
"110","Mutualism_Antagonism",9,0.128571428571429,"9973"
"111","StrongW_Antagonism",24,0.342857142857143,"9973"
"112","StrongW_Mutualism",25,0.357142857142857,"9973"
"113","Absent",9,0.128571428571429,"9972"
"114","Mutualism_Antagonism",14,0.2,"9972"
"115","StrongW_Antagonism",22,0.314285714285714,"9972"
"116","StrongW_Mutualism",25,0.357142857142857,"9972"
"117","Absent",7,0.1,"9971"
"118","Mutualism_Antagonism",13,0.185714285714286,"9971"
"119","StrongW_Antagonism",24,0.342857142857143,"9971"
"120","StrongW_Mutualism",26,0.371428571428571,"9971"
"121","Absent",7,0.1,"9970"
"122","Mutualism_Antagonism",17,0.242857142857143,"9970"
"123","StrongW_Antagonism",19,0.271428571428571,"9970"
"124","StrongW_Mutualism",27,0.385714285714286,"9970"
"125","Absent",9,0.128571428571429,"9969"
"126","Mutualism_Antagonism",14,0.2,"9969"
"127","StrongW_Antagonism",21,0.3,"9969"
"128","StrongW_Mutualism",26,0.371428571428571,"9969"
"129","Absent",13,0.185714285714286,"9968"
"130","Mutualism_Antagonism",13,0.185714285714286,"9968"
"131","StrongW_Antagonism",22,0.314285714285714,"9968"
"132","StrongW_Mutualism",22,0.314285714285714,"9968"
"133","Absent",10,0.142857142857143,"9967"
"134","Mutualism_Antagonism",11,0.157142857142857,"9967"
"135","StrongW_Antagonism",24,0.342857142857143,"9967"
"136","StrongW_Mutualism",25,0.357142857142857,"9967"
"137","Absent",11,0.157142857142857,"9966"
"138","Mutualism_Antagonism",11,0.157142857142857,"9966"
"139","StrongW_Antagonism",22,0.314285714285714,"9966"
