"","iteration","Absent","Mutualism_Antagonism","StrongW_Antagonism","StrongW_Mutualism"
"1","1",12,9,27,22
"2","10",17,13,23,17
"3","100",17,10,27,16
"4","1000",16,5,27,22
"5","10000",13,9,26,22
"6","1001",16,10,27,17
"7","1002",16,8,26,20
"8","1003",11,7,28,24
"9","1004",19,11,23,17
"10","1005",16,10,24,20
"11","1006",15,7,26,22
"12","1007",12,7,27,24
"13","1008",15,6,32,17
"14","1009",13,5,30,22
"15","101",13,12,25,20
"16","1010",16,6,26,22
"17","1011",17,7,26,20
"18","1012",14,6,28,22
"19","1013",17,7,26,20
"20","1014",13,7,27,23
"21","1015",16,11,24,19
"22","1016",11,8,27,24
"23","1017",9,7,28,26
"24","1018",14,4,29,23
"25","1019",16,8,27,19
"26","102",18,14,23,15
"27","1020",13,7,26,24
"28","1021",16,7,26,21
"29","1022",16,9,26,19
"30","1023",19,7,26,18
"31","1024",13,4,28,25
"32","1025",15,10,25,20
"33","1026",17,5,29,19
"34","1027",10,6,32,22
"35","1028",19,8,27,16
"36","1029",13,4,28,25
"37","103",15,7,26,22
"38","1030",17,16,23,14
"39","1031",16,10,24,20
"40","1032",18,7,26,19
"41","1033",15,12,24,19
"42","1034",17,7,27,19
"43","1035",19,12,24,15
"44","1036",16,10,24,20
"45","1037",17,7,28,18
"46","1038",13,11,28,18
"47","1039",9,6,30,25
"48","104",12,7,28,23
"49","1040",15,9,26,20
"50","1041",16,10,26,18
"51","1042",19,7,26,18
"52","1043",16,9,25,20
"53","1044",15,10,25,20
"54","1045",17,5,28,20
"55","1046",11,6,28,25
"56","1047",14,7,28,21
"57","1048",14,8,25,23
"58","1049",11,9,27,23
"59","105",15,7,27,21
"60","1050",15,7,26,22
"61","1051",18,11,24,17
"62","1052",10,6,32,22
"63","1053",15,7,28,20
"64","1054",17,7,26,20
"65","1055",16,7,28,19
"66","1056",18,7,27,18
"67","1057",12,10,26,22
"68","1058",12,10,24,24
"69","1059",13,12,25,20
"70","106",13,10,22,25
"71","1060",16,9,29,16
"72","1061",15,7,25,23
"73","1062",14,8,27,21
"74","1063",19,14,20,17
"75","1064",12,6,30,22
"76","1065",15,10,25,20
"77","1066",10,7,28,25
"78","1067",14,9,25,22
"79","1068",14,5,28,23
"80","1069",17,12,21,20
"81","107",8,9,26,27
"82","1070",17,8,25,20
"83","1071",17,9,26,18
"84","1072",20,9,24,17
"85","1073",17,13,20,20
"86","1074",13,7,27,23
"87","1075",15,8,27,20
"88","1076",9,9,28,24
"89","1077",21,10,24,15
"90","1078",13,9,26,22
"91","1079",16,11,27,16
"92","108",16,6,25,23
"93","1080",14,7,28,21
"94","1081",18,10,24,18
"95","1082",14,7,26,23
"96","1083",16,8,25,21
"97","1084",14,6,31,19
"98","1085",16,12,23,19
"99","1086",12,7,26,25
"100","1087",12,3,31,24
"101","1088",12,8,26,24
"102","1089",16,3,30,21
"103","109",16,10,26,18
"104","1090",19,8,24,19
"105","1091",16,11,24,19
"106","1092",14,11,26,19
"107","1093",15,7,25,23
"108","1094",13,11,24,22
"109","1095",15,10,24,21
"110","1096",17,10,24,19
"111","1097",20,8,25,17
"112","1098",15,12,27,16
"113","1099",10,9,28,23
"114","11",11,8,26,25
"115","110",17,14,21,18
"116","1100",18,7,27,18
"117","1101",15,13,22,20
"118","1102",13,10,25,22
"119","1103",19,10,21,20
"120","1104",14,7,28,21
"121","1105",21,13,23,13
"122","1106",11,9,27,23
"123","1107",15,13,22,20
"124","1108",17,8,27,18
"125","1109",17,8,27,18
"126","111",17,9,24,20
"127","1110",11,7,28,24
"128","1111",14,8,27,21
"129","1112",19,7,24,20
"130","1113",18,12,24,16
"131","1114",13,9,26,22
"132","1115",15,10,26,19
"133","1116",14,8,26,22
"134","1117",13,9,26,22
"135","1118",14,10,25,21
"136","1119",12,9,29,20
"137","112",15,13,23,19
"138","1120",15,8,24,23
"139","1121",14,8,26,22
"140","1122",15,14,23,18
"141","1123",13,12,23,22
"142","1124",14,7,30,19
"143","1125",14,10,25,21
"144","1126",8,8,27,27
"145","1127",16,5,29,20
"146","1128",18,7,28,17
"147","1129",12,6,30,22
"148","113",14,10,26,20
"149","1130",19,13,22,16
"150","1131",13,10,26,21
"151","1132",11,10,28,21
"152","1133",10,7,30,23
"153","1134",19,11,19,21
"154","1135",14,4,32,20
"155","1136",11,9,28,22
"156","1137",17,11,24,18
"157","1138",18,12,24,16
"158","1139",13,8,27,22
"159","114",14,10,27,19
"160","1140",12,9,28,21
"161","1141",12,9,25,24
"162","1142",14,9,25,22
"163","1143",14,6,29,21
"164","1144",16,10,26,18
"165","1145",13,11,25,21
"166","1146",15,9,28,18
"167","1147",20,9,22,19
"168","1148",14,5,28,23
"169","1149",18,10,25,17
"170","115",12,10,25,23
"171","1150",21,10,21,18
"172","1151",14,6,28,22
"173","1152",13,10,25,22
"174","1153",16,11,25,18
"175","1154",19,12,21,18
"176","1155",17,11,24,18
"177","1156",19,10,23,18
"178","1157",16,9,25,20
"179","1158",13,7,26,24
"180","1159",11,7,29,23
"181","116",16,16,22,16
"182","1160",16,7,27,20
"183","1161",18,12,23,17
"184","1162",10,7,28,25
"185","1163",16,11,26,17
"186","1164",11,7,27,25
"187","1165",19,9,22,20
"188","1166",13,13,24,20
"189","1167",15,9,26,20
"190","1168",17,12,24,17
"191","1169",16,11,24,19
"192","117",16,11,22,21
"193","1170",15,8,28,19
"194","1171",16,10,26,18
"195","1172",12,8,25,25
"196","1173",14,4,28,24
"197","1174",16,7,26,21
"198","1175",15,6,30,19
"199","1176",18,13,19,20
"200","1177",17,11,24,18
"201","1178",14,8,27,21
"202","1179",15,7,25,23
"203","118",17,10,24,19
"204","1180",17,8,27,18
"205","1181",18,7,24,21
"206","1182",19,13,28,10
"207","1183",18,6,26,20
"208","1184",14,9,26,21
"209","1185",15,10,27,18
"210","1186",14,10,25,21
"211","1187",13,10,27,20
"212","1188",13,13,25,19
"213","1189",14,8,27,21
"214","119",16,5,27,22
"215","1190",13,4,29,24
"216","1191",15,10,25,20
"217","1192",16,9,25,20
"218","1193",11,7,29,23
"219","1194",16,8,24,22
"220","1195",15,6,29,20
"221","1196",11,8,29,22
"222","1197",12,9,28,21
"223","1198",16,9,23,22
"224","1199",20,8,26,16
"225","12",14,6,27,23
"226","120",15,14,25,16
"227","1200",11,7,29,23
"228","1201",13,12,25,20
"229","1202",16,10,24,20
"230","1203",16,8,27,19
"231","1204",17,14,21,18
"232","1205",16,12,24,18
"233","1206",12,10,25,23
"234","1207",15,9,26,20
"235","1208",17,12,24,17
"236","1209",14,8,27,21
"237","121",11,10,28,21
"238","1210",16,13,23,18
"239","1211",13,10,26,21
"240","1212",16,9,25,20
"241","1213",12,7,26,25
"242","1214",15,9,25,21
"243","1215",12,9,27,22
"244","1216",15,10,25,20
"245","1217",16,8,26,20
"246","1218",15,5,30,20
"247","1219",17,12,23,18
"248","122",11,6,28,25
"249","1220",12,9,28,21
"250","1221",15,9,27,19
"251","1222",17,8,26,19
"252","1223",17,13,22,18
"253","1224",13,14,23,20
"254","1225",12,7,31,20
"255","1226",14,4,28,24
"256","1227",18,13,24,15
"257","1228",13,7,25,25
"258","1229",12,9,27,22
"259","123",14,8,28,20
"260","1230",16,7,26,21
"261","1231",12,8,26,24
"262","1232",12,11,28,19
"263","1233",11,4,29,26
"264","1234",16,11,26,17
"265","1235",16,10,24,20
"266","1236",14,15,25,16
"267","1237",12,3,33,22
"268","1238",13,16,21,20
"269","1239",14,8,28,20
"270","124",10,8,28,24
"271","1240",12,12,23,23
"272","1241",16,8,25,21
"273","1242",12,10,28,20
"274","1243",17,14,21,18
"275","1244",16,7,25,22
"276","1245",15,13,23,19
"277","1246",17,7,28,18
"278","1247",14,8,28,20
"279","1248",15,10,25,20
"280","1249",18,5,26,21
"281","125",15,7,27,21
"282","1250",13,9,27,21
"283","1251",13,7,26,24
"284","1252",11,7,27,25
"285","1253",13,9,28,20
"286","1254",13,9,28,20
"287","1255",14,15,23,18
"288","1256",14,6,26,24
"289","1257",14,8,27,21
"290","1258",17,12,24,17
"291","1259",14,8,26,22
"292","126",14,13,25,18
"293","1260",16,13,23,18
"294","1261",20,8,24,18
"295","1262",14,11,26,19
"296","1263",11,4,31,24
"297","1264",13,8,27,22
"298","1265",14,8,28,20
"299","1266",16,12,25,17
"300","1267",15,10,23,22
"301","1268",17,7,26,20
"302","1269",17,12,26,15
"303","127",17,8,25,20
"304","1270",15,10,28,17
"305","1271",16,10,24,20
"306","1272",14,10,25,21
"307","1273",17,14,22,17
"308","1274",15,12,23,20
"309","1275",16,12,24,18
"310","1276",10,10,28,22
"311","1277",17,11,23,19
"312","1278",14,6,29,21
"313","1279",11,12,28,19
"314","128",17,9,21,23
"315","1280",12,10,25,23
"316","1281",16,11,21,22
"317","1282",10,6,31,23
"318","1283",16,11,23,20
