plant,deer,wildboar,rabbit,rat,fox,badger,combination,motif,inf_s,size_s,sincr_s,fruits_s,fruit_set_s,del.area_s,nn_s,dens_s,pop,inf,size,sincr,fruits,fruit_set,exit_pol,del.area,nn,dens,norm_d,spp_str,spp_spcfty,nsi,eff_part
CHU0108,0,0,0.01,0,0,0,ant-absent_mut-weak,Mutualist,-0.226204041,-0.579353719,0.281109312,0.457384824,0.05140544,-0.27401307,0.211030798,-0.397069054,Matasgordas,33,3.97411135,0.682108626,156,5148,0.26,735.915,14.391,3,0.167,0.003,1.000,1.433,1.000
CHU0111,0,0,0,0,0,0,ant-absent_mut-absent,No_Interaction,0.197739275,-0.515369266,0.281109312,-0.094424518,0.163469723,0.045300583,0.648767258,-0.952965729,Matasgordas,53,4.28827035,0.682108626,110,5830,0.133,1383.9,19.298,1,0.000,0.000,0.000,0.000,0.000
CHU096M,0.69,0,0,0,0,0.11,ant-strong_mut-weak,Mutualist-Antagonist,-0.438175699,-0.872082592,0.281109312,0.74528535,-0.114226227,-0.582094308,-0.523317384,0.714724296,Matasgordas,23,2.536833925,0.682108626,180,4140,0.069,110.724,6.159,7,0.333,0.390,0.844,1.500,1.497
CHU100,0,0,0,0,0,0,ant-absent_mut-absent,No_Interaction,0.049359115,-0.487376067,-0.544400935,-0.154403794,-0.000847407,0.892897886,0.50434188,-0.675017391,Matasgordas,46,4.425714913,0.598509052,105,4830,0.019,3103.934,17.679,2,0.000,0.000,0.000,0.000,0.000
CHU105M,0,0,0.19,0,0,0.01,ant-absent_mut-strong,Mutualist,-0.205006875,-0.649736617,-0.544400935,-0.874155109,-0.543093936,-0.126520256,1.112016785,-0.952965729,Matasgordas,34,3.62853645,0.598509052,45,1530,0.577,1035.223,24.491,1,0.333,0.044,0.959,1.333,1.162
CHU114M,0.29,0,0.01,0,0,0.04,ant-strong_mut-weak,Mutualist-Antagonist,-0.522964362,-0.980856162,0.281109312,0.781272915,-0.223168484,-0.074775957,0.237703552,-0.675017391,Matasgordas,19,2.002763625,0.682108626,183,3477,0.093,1140.228,14.69,2,0.500,0.162,0.816,1.133,1.698
EM001H,0.06,0,0,0,0,0,ant-strong_mut-absent,Antagonist,-0.713738855,-0.716920293,-0.544400935,-0.634238004,-0.687693011,-0.056224784,0.955637732,-0.952965729,Matasgordas,10,3.2986695,0.598509052,65,650,0.196,1177.874,22.738,1,0.167,0.025,1.000,1.567,1.000
EM003H,0,0,0.07,0,0,0,ant-absent_mut-weak,Mutualist,-0.014232383,-0.708922236,0.281109312,0.241459429,0.180558705,0.506920052,3.188923295,-0.952965729,Matasgordas,43,3.337939375,0.682108626,138,5934,0.031,2320.667,47.773,1,0.167,0.013,1.000,1.433,1.000
EM007,0,0,0.08,0,0,0,ant-absent_mut-weak,Mutualist,0.388513768,-0.548961104,0.281109312,1.153144428,1.385660537,-0.478755021,0.255544859,-0.119120716,Matasgordas,62,4.123336875,0.682108626,214,13268,0.354,320.431,14.89,4,0.167,0.014,1.000,1.433,1.000
EM008,0,0,0.04,0,0,0,ant-absent_mut-weak,Mutualist,-0.565358694,0.230049613,0.281109312,-0.070432807,-0.48163933,0.124899237,-0.651596379,-0.119120716,Matasgordas,17,7.9482227,0.682108626,112,1904,0.457,1545.43,4.721,4,0.167,0.008,1.000,1.433,1.000
