"","deer","wildboar","rabbit","rat","fox","badger","ant","mut","class_ant","class_mut","combination","Motif"
"1",0,0.007,0,0,0,0,0.007,0,"weak","absent","ant-weak_mut-absent","StrongW_Antagonism"
"2",0.083,0.028,0.00501415384615385,0,0,0,0.111,0.00501415384615385,"strong","weak","ant-strong_mut-weak","Mutualism_Antagonism"
"3",0.118,0,0,0,0,0,0.118,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"4",0.229,0,0,0,0,0,0.229,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"5",8.167,0.042,0,0,0,0.069,8.209,0.069,"strong","strong","ant-strong_mut-strong","Mutualism_Antagonism"
"6",0,0.153,0,0,0,0,0.153,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"7",0.083,0.173,0,0,0,0,0.256,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"8",0.694,0,0,0,0,0,0.694,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"9",0.056,0.097,0,0,0,0,0.153,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"10",0.028,0.055,0,0,0,0,0.083,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"11",0.188,0.73,0.0125353846153846,0,0,0,0.918,0.0125353846153846,"strong","weak","ant-strong_mut-weak","Mutualism_Antagonism"
"12",0.062,0,0,0,0,0,0.062,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"13",0,0,0,0,0,0.014,0,0.014,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"14",1.542,0,0,0,0,0.354,1.542,0.354,"strong","strong","ant-strong_mut-strong","Mutualism_Antagonism"
"15",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"16",0.237,0,0,0,0,0,0.237,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"17",0.777,0,0,0,0,0,0.777,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"18",7.358,0,0,0,0,0,7.358,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"19",4.518,0,0,0,0,0,4.518,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"20",0,0,0,0,0,0.181,0,0.181,"absent","strong","ant-absent_mut-strong","StrongW_Mutualism"
"21",0.382,0.73,0.0299058461538462,0.00219553846153846,0,0,1.112,0.0321013846153846,"strong","strong","ant-strong_mut-strong","Mutualism_Antagonism"
"22",1.251,0,0,0,0,0,1.251,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"23",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"24",0.063,0,0,0,0,0,0.063,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"25",0,0,0.00250707692307692,0,0,0,0,0.00250707692307692,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"26",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"27",0.007,0,0,0,0,0,0.007,0,"weak","absent","ant-weak_mut-absent","StrongW_Antagonism"
"28",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"29",0,0,0.00501415384615385,0,0,0,0,0.00501415384615385,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"30",0.583,0,0.00250707692307692,0,0,0.042,0.583,0.0445070769230769,"strong","strong","ant-strong_mut-strong","Mutualism_Antagonism"
"31",0.167,0,0,0,0,0,0.167,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"32",0,0,0.0123563076923077,0.00363738461538462,0,0,0,0.0159936923076923,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"33",0,0,0.0136098461538462,0,0,0,0,0.0136098461538462,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"34",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"35",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"36",0,0,0.0173704615384615,0,0,0,0,0.0173704615384615,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"37",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"38",0,0,0.0100283076923077,0.00182415384615385,0,0,0,0.0118524615384615,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"39",0,0,0,0.000611692307692308,0,0,0,0.000611692307692308,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"40",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"41",0,0,0.018624,0.000611692307692308,0,0,0,0.0192356923076923,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"42",0.042,0,0,0.000458769230769231,0,0,0.042,0.000458769230769231,"strong","weak","ant-strong_mut-weak","Mutualism_Antagonism"
"43",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"44",0,0,0,0.00728569230769231,0,0,0,0.00728569230769231,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"45",0,0,0,0.0103113846153846,0,0,0,0.0103113846153846,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"46",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"47",0.028,0,0,0,0,0,0.028,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"48",0.035,0,0,0.00273076923076923,0,0,0.035,0.00273076923076923,"strong","weak","ant-strong_mut-weak","Mutualism_Antagonism"
"49",0.049,0,0,0.00136538461538462,0,0.09,0.049,0.0913653846153846,"strong","strong","ant-strong_mut-strong","Mutualism_Antagonism"
"50",0.563,0,0,0.00211907692307692,0,0,0.563,0.00211907692307692,"strong","weak","ant-strong_mut-weak","Mutualism_Antagonism"
"51",0,0,0,7.64615384615385e-05,0,0,0,7.64615384615385e-05,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"52",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"53",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"54",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"55",0.028,0,0.0148633846153846,0,0,0,0.028,0.0148633846153846,"strong","weak","ant-strong_mut-weak","Mutualism_Antagonism"
"56",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"57",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"58",0,0.021,0.105655384615385,0.00492630769230769,0,0,0.021,0.110581692307692,"weak","strong","ant-weak_mut-strong","Mutualism_Antagonism"
"59",0.104,0,0,0,0,0,0.104,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"60",0,0,0.0100283076923077,0.00190061538461538,0,0.028,0,0.0399289230769231,"absent","strong","ant-absent_mut-strong","StrongW_Mutualism"
"61",0.021,0,0.0123563076923077,0,0,0,0.021,0.0123563076923077,"weak","weak","ant-weak_mut-weak","Mutualism_Antagonism"
"62",0,0,0.0161169230769231,0,0,0,0,0.0161169230769231,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"63",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"64",0.208,0,0,0,0,0.438,0.208,0.438,"strong","strong","ant-strong_mut-strong","Mutualism_Antagonism"
"65",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"66",0,0.028,0.201461538461538,0.000611692307692308,0,0,0.028,0.202073230769231,"strong","strong","ant-strong_mut-strong","Mutualism_Antagonism"
"67",0,0,0,0.000983076923076923,0,0,0,0.000983076923076923,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"68",0,0,0.0820172307692308,0,0,0,0,0.0820172307692308,"absent","strong","ant-absent_mut-strong","StrongW_Mutualism"
"69",0.083,0,0.0746750769230769,0.00341892307692308,0.0129230769230769,0,0.083,0.0910170769230769,"strong","strong","ant-strong_mut-strong","Mutualism_Antagonism"
"70",0,0,0.00501415384615385,0.00424907692307692,0,0,0,0.00926323076923077,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
