"","deer","wildb","rabbit","rat","fox","badger","ant","mut","class_ant","class_mut","combination","Motif"
"1",0,0,0.004004,0,0,0,0,0.004004,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"2",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"3",0.007,0,0,0,0,0,0.007,0,"weak","absent","ant-weak_mut-absent","StrongW_Antagonism"
"4",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"5",0,0,0.008008,0,0,0,0,0.008008,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"6",0.583,0,0.004004,0,0,0.007518,0.583,0.011522,"strong","weak","ant-strong_mut-weak","StrongW_Antagonism"
"7",0.167,0,0,0,0,0,0.167,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"8",0,0,0.019734,0.095238,0,0,0,0.114972,"absent","strong","ant-absent_mut-strong","StrongW_Mutualism"
"9",0,0,0.021736,0,0,0,0,0.021736,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"10",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"11",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"12",0,0,0.027742,0,0,0,0,0.027742,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"13",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"14",0,0,0.016016,0.047762,0,0,0,0.063778,"absent","strong","ant-absent_mut-strong","StrongW_Mutualism"
"15",0,0,0,0.016016,0,0,0,0.016016,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"16",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"17",0,0,0.029744,0.016016,0,0,0,0.04576,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"18",0.042,0,0,0.012012,0,0,0.042,0.012012,"weak","weak","ant-weak_mut-weak","Mutualism_Antagonism"
"19",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"20",0,0,0,0.190762,0,0,0,0.190762,"absent","strong","ant-absent_mut-strong","StrongW_Mutualism"
"21",0,0,0,0.269984,0,0,0,0.269984,"absent","strong","ant-absent_mut-strong","StrongW_Mutualism"
"22",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"23",0.028,0,0,0,0,0,0.028,0,"weak","absent","ant-weak_mut-absent","StrongW_Antagonism"
"24",0.035,0,0,0.0715,0,0,0.035,0.0715,"weak","strong","ant-weak_mut-strong","StrongW_Mutualism"
"25",0.049,0,0,0.03575,0,0.01611,0.049,0.05186,"weak","strong","ant-weak_mut-strong","StrongW_Mutualism"
"26",0.563,0,0,0.055484,0,0,0.563,0.055484,"strong","strong","ant-strong_mut-strong","Mutualism_Antagonism"
"27",0,0,0,0.002002,0,0,0,0.002002,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
