plant,deer,wildboar,rabbit,rat,fox,badger,motif,inf_s,size_s,sincr_s,fruits_s,fruit_set_s,del.area_s,nn_s,dens_s,pop
CHU0108,0.00000,0.00000,0.08333,0.00000,0.00000,0.00000,StrongW_Mutualism,0.699506472,0.809403332,6.735532654,1.871353418,0.845904586,0.362643744,1.283771222,0.833845012,Matasgordas
CHU0111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Absent,1.123449788,0.873387785,6.735532654,1.319544077,0.957968869,0.681957396,1.721507681,0.277948337,Matasgordas
CHU096M,0.08333,0.00000,0.00000,0.00000,0.00000,0.16667,StrongW_Antagonism,0.487534814,0.516674459,6.735532654,2.159253944,0.680272919,0.054562505,0.549423039,1.945638362,Matasgordas
CHU100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Absent,0.975069628,0.901380983,5.910022406,1.259564801,0.793651739,1.529554699,1.577082303,0.555896675,Matasgordas
CHU105M,0.00000,0.00000,0.33333,0.00000,0.00000,0.08333,StrongW_Mutualism,0.720703638,0.739020433,5.910022406,0.539813486,0.251405209,0.510136557,2.184757209,0.277948337,Matasgordas
CHU114M,0.50000,0.00000,0.08333,0.00000,0.00000,0.08333,StrongW_Antagonism,0.40274615,0.407900889,6.735532654,2.19524151,0.571330662,0.561880857,1.310443975,0.555896675,Matasgordas
EM001H,0.08333,0.00000,0.00000,0.00000,0.00000,0.08333,StrongW_Antagonism,0.211971658,0.671836758,5.910022406,0.779730591,0.106806135,0.58043203,2.028378156,0.277948337,Matasgordas
EM003H,0.00000,0.00000,0.08333,1.00000,0.00000,0.00000,StrongW_Mutualism,0.91147813,0.679834814,6.735532654,1.655428024,0.97505785,1.143576866,4.261663718,0.277948337,Matasgordas
EM007,0.00000,0.00000,0.08333,0.08333,0.00000,0.00000,StrongW_Mutualism,1.314224281,0.839795947,6.735532654,2.567113023,2.180159683,0.157901792,1.328285282,1.11179335,Matasgordas
EM008,0.08333,0.00000,0.08333,0.00000,0.00000,0.00000,Absent,0.360351819,1.618806664,6.735532654,1.343535788,0.312859816,0.761556051,0.421144044,1.11179335,Matasgordas
EM009,0.00000,0.00000,0.16667,0.00000,0.00000,0.00000,Absent,0.572323477,0.69903015,6.735532654,1.21158138,0.448092814,0.092132006,1.058881551,1.667690025,Matasgordas
EM013,0.16667,0.00000,0.58333,0.16667,0.00000,0.00000,StrongW_Mutualism,0.699506472,1.478040867,6.735532654,3.754702692,1.697231637,0.172146073,0.000892065,1.11179335,Matasgordas
EM028,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Absent,1.992533587,1.530828041,5.910022406,2.483142036,3.197282719,0.346667343,1.371461244,0.555896675,Matasgordas
EM031,0.00000,0.00000,0.16667,0.08333,0.00000,0.00000,StrongW_Mutualism,0.127182995,1.140522877,6.735532654,1.283556511,0.105491598,0.465199512,4.317953041,0.277948337,Matasgordas
EM044,0.00000,0.00000,0.08333,0.16667,0.00000,0.00000,StrongW_Mutualism,0.50873198,1.425253693,5.063480055,1.799378287,0.591541669,3.51497419,4.037576906,0.277948337,Matasgordas
EM054,0.00000,0.00000,0.00000,0.16667,0.00000,0.00000,Absent,0.40274615,0.516674459,6.735532654,1.43950263,0.374643057,0.829564041,0.948711482,0.555896675,Matasgordas
EM060,0.00000,0.00000,0.25000,0.16667,0.00000,0.00000,StrongW_Mutualism,0.487534814,0.516674459,5.910022406,0.647776183,0.204081876,0.045574209,0.948711482,0.833845012,Matasgordas
EM062B,0.16667,0.00000,0.00000,0.16667,0.00000,0.00000,StrongW_Antagonism,0.169577327,0.499078734,6.735532654,3.958632231,0.433797224,0.086433012,0.942020992,1.11179335,Matasgordas
EM066H,0.00000,0.00000,0.08333,0.00000,0.00000,0.00000,Absent,0.233168824,0.489481066,6.735532654,1.535469472,0.231358519,0.050366981,0.585194859,0.833845012,Matasgordas
EM083H,0.00000,0.00000,0.00000,0.08333,0.00000,0.00000,StrongW_Mutualism,0.593520643,0.959766797,6.735532654,0.119958552,0.046008796,0.008552679,0.126494864,0.833845012,Matasgordas
EM090H,0.00000,0.00000,0.00000,0.08333,0.00000,0.00000,StrongW_Mutualism,0.084788663,0.105574348,6.735532654,1.115614538,0.061125972,0.687162132,0.335059739,0.833845012,Matasgordas
