no,plant,deer,wildboar,rabbit,rat,fox,badger,deer_i,wildboar_i,rabbit_i,rat_i,fox_i,badger_i,antagonist,poor_mutual,mutualist,antagonist_i,poor_mutual_i,mutualist_i,Motifs,pop,x,y,del_area,nn,dens,normalised.degree,species.strength,species.specificity.index,effective.partners,node.index
1,CHU096M,0.007,0,0,0,0,0,Weak,Absent,Absent,Absent,Absent,Absent,0.007,0,0,Weak,Absent,Absent,weak_anta,Matasgordas,193994.1202,4113945.305,7828.070122,2.671734832,7,0.429,0.340,0.504,1.390,2.870
2,CHU100,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,194127.1825,4114080.502,308.878396,1.776947329,12,0.143,0.066,1.000,1.805,1.000
3,CHU105M,0,0,0.028,0,0,0,Absent,Absent,Weak,Absent,Absent,Absent,0,0.028,0,Absent,Weak,Absent,weak_mutual,Matasgordas,194010.5652,4113932.478,60.109389,10.3610218,2,0.286,0.151,0.792,1.341,1.648
4,CHU0108,0,0,0.014,0,0,0,Absent,Absent,Weak,Absent,Absent,Absent,0,0.014,0,Absent,Weak,Absent,weak_mutual,Matasgordas,194010.4442,4113929.147,29.019954,2.09845872,10,0.143,0.015,1.000,1.439,1.000
6,CHU114M,0.583,0,0.014,0,0,0.042,Strong,Absent,Weak,Absent,Absent,Weak,0.583,0.014,0.042,Strong,Weak,Weak,weak_mutual_strong_anta,Matasgordas,194000.7502,4113907.273,3198.064182,6.726028267,3,0.571,0.315,0.629,1.171,2.721
7,EM001H,0.167,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,0.167,0,0,Weak,Absent,Absent,weak_anta,Matasgordas,194030.5628,4113710.809,10877.35774,6.273279187,2,0.429,0.248,0.521,1.390,2.825
8,EM003H,0,0,0.069,0.333,0,0,Absent,Absent,Weak,Strong,Absent,Absent,0,0.402,0,Absent,Strong,Absent,weak_mutual,Matasgordas,193981.4379,4113696.766,426.324856,7.733061102,6,0.286,0.187,0.914,1.171,1.311
9,EM007,0,0,0.076,0,0,0,Absent,Absent,Weak,Absent,Absent,Absent,0,0.076,0,Absent,Weak,Absent,weak_mutual,Matasgordas,193958.718,4113696.017,193.0671,8.993479113,7,0.286,0.029,0.645,1.171,2.000
10,EM008,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,193959.3096,4113687.043,126.66052,8.993479113,8,0.286,0.039,0.645,1.220,2.000
11,EM009,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,193926.4343,4113718.634,1137.691432,22.74413738,1,0.143,0.030,1.000,1.439,1.000
12,EM013,0,0,0.097,0,0,0,Absent,Absent,Weak,Absent,Absent,Absent,0,0.097,0,Absent,Weak,Absent,weak_mutual,Matasgordas,193878.7818,4113752.103,3267.27234,18.99287293,1,0.429,0.182,0.618,1.049,2.480
13,EM028,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,193869.8834,4113690.758,3172.190438,8.812394354,2,0.143,0.066,1.000,1.805,1.000
14,EM031,0,0,0.056,0.167,0,0,Absent,Absent,Weak,Strong,Absent,Absent,0,0.223,0,Absent,Weak,Absent,weak_mutual,Matasgordas,193732.3852,4113718.233,76.126967,1.529673481,9,0.286,0.045,0.695,1.171,1.888
15,EM044,0,0,0,0.056,0,0,Absent,Absent,Absent,Weak,Absent,Absent,0,0.056,0,Absent,Weak,Absent,weak_mutual,Matasgordas,193700.4829,4113736.589,69.131979,2.924166623,12,0.429,0.177,0.504,1.073,2.870
16,EM054,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,193693.1808,4113706.85,4.363667,1.932627613,8,0.143,0.029,1.000,1.463,1.000
17,EM060,0,0,0.104,0.056,0,0,Absent,Absent,Weak,Weak,Absent,Absent,0,0.16,0,Absent,Weak,Absent,weak_mutual,Matasgordas,193723.5034,4113715.57,40.310787,0.62554569,10,0.286,0.074,0.663,1.171,1.961
18,EM062B,0.042,0,0,0.042,0,0,Weak,Absent,Absent,Weak,Absent,Absent,0.042,0.042,0,Weak,Weak,Absent,weak_mutual,Matasgordas,193731.7088,4113716.861,27.392887,7.899559968,8,0.286,0.076,0.645,1.171,2.000
19,EM066H,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,193842.1432,4113649.353,89.433325,5.559834202,4,0.143,0.015,1.000,1.439,1.000
20,EM083H,0,0,0,0.667,0,0,Absent,Absent,Absent,Strong,Absent,Absent,0,0.667,0,Absent,Strong,Absent,weak_mutual,Matasgordas,193926.2207,4113617.281,492.571297,8.094937221,3,0.143,0.043,1.000,1.463,1.000
21,EM090H,0,0,0,0.944,0,0,Absent,Absent,Absent,Strong,Absent,Absent,0,0.944,0,Absent,Strong,Absent,weak_mutual,Matasgordas,193962.7853,4113605.287,171.588552,3.498146858,8,0.143,0.057,1.000,1.463,1.000
23,EM117H,0.028,0,0,0,0,0,Weak,Absent,Absent,Absent,Absent,Absent,0.028,0,0,Weak,Absent,Absent,weak_anta,Matasgordas,194030.8233,4113553.854,272.755624,1.710147654,4,0.429,0.278,0.488,1.171,2.942
24,EM123H,0.035,0,0,0.25,0,0,Weak,Absent,Absent,Strong,Absent,Absent,0.035,0.25,0,Weak,Weak,Absent,weak_mutual_weak_anta,Matasgordas,194074.3877,4113534.518,1365.98411,19.72982516,1,0.429,0.082,0.590,1.049,2.584
25,EM128,0.049,0,0,0.125,0,0.09,Weak,Absent,Absent,Strong,Absent,Weak,0.049,0.125,0.09,Weak,Weak,Weak,weak_mutual_weak_anta,Matasgordas,194090.5632,4113501.718,766.931264,14.56160901,2,0.429,0.157,0.590,1.146,2.584
26,EM133,0.563,0,0,0.194,0,0,Strong,Absent,Absent,Strong,Absent,Absent,0.563,0.194,0,Strong,Weak,Absent,weak_mutual_strong_anta,Matasgordas,194120.0415,4113503.675,249.747021,12.57182587,3,0.286,0.129,0.655,1.171,1.980
27,EM136,0,0,0,0.007,0,0,Absent,Absent,Absent,Weak,Absent,Absent,0,0.007,0,Absent,Weak,Absent,weak_mutual,Matasgordas,194143.2927,4113445.69,459.828975,7.845964492,2,0.143,0.014,1.000,1.463,1.000
28,EM138,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,194133.6413,4113428.276,1041.115647,14.18997157,2,0.286,0.038,0.645,1.171,2.000
29,EM142,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,194095.7008,4113433.212,144.068743,1.608558575,4,0.143,0.014,1.000,1.463,1.000
30,EM155,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,194069.5386,4113461.167,169.413315,8.065719425,8,0.143,0.048,1.000,1.537,1.000
31,EM160,0.028,0,0.083,0,0,0,Weak,Absent,Weak,Absent,Absent,Absent,0.028,0.083,0,Weak,Weak,Absent,weak_mutual_weak_anta,Matasgordas,194043.2628,4113455.545,15.128858,1.184308085,16,0.286,0.078,0.645,1.220,2.000
32,EM163,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,194038.7871,4113448.563,121.298214,0.01,15,0.143,0.014,1.000,1.463,1.000
33,EM171,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,194029.3372,4113470.601,146.92779,0.01,10,0.429,0.105,0.471,1.171,3.000
34,EM190,0,0.021,0.59,0.451,0,0,Absent,Weak,Strong,Strong,Absent,Absent,0.021,1.041,0,Weak,Strong,Absent,weak_mutual_weak_anta,Matasgordas,193943.3023,4113435.085,109.645464,5.666565292,4,0.571,0.781,0.462,1.073,3.387
35,EM193,0.104,0,0,0,0,0,Weak,Absent,Absent,Absent,Absent,Absent,0.104,0,0,Weak,Absent,Absent,weak_anta,Matasgordas,193914.9896,4113416.934,1250.007751,9.773088118,2,0.143,0.071,1.000,1.537,1.000
36,EM199,0,0,0.056,0.174,0,0.028,Absent,Absent,Weak,Strong,Absent,Weak,0,0.23,0.028,Absent,Weak,Weak,weak_mutual,Matasgordas,193877.1673,4113508.098,403.888262,9.365399533,5,0.429,0.314,0.517,1.098,2.819
37,EM227,0.021,0,0.069,0,0,0,Weak,Absent,Weak,Absent,Absent,Absent,0.021,0.069,0,Weak,Weak,Absent,weak_mutual_weak_anta,Matasgordas,193741.5811,4113823.871,495.235435,10.20815174,2,0.286,0.054,0.695,1.220,1.888
38,EM234,0,0,0.09,0,0,0,Absent,Absent,Weak,Absent,Absent,Absent,0,0.09,0,Absent,Weak,Absent,weak_mutual,Matasgordas,193755.0745,4113805.16,158.790369,4.661562403,5,0.143,0.015,1.000,1.439,1.000
40,EM240,0.208,0,0,0,0,0.438,Strong,Absent,Absent,Absent,Absent,Strong,0.208,0,0.438,Weak,Absent,Strong,strong_mutual_weak_anta,Matasgordas,193890.3122,4113792.495,1191.770572,12.77649812,2,0.286,0.392,0.673,1.488,1.938
42,EM291H,0,0.028,1.125,0.056,0,0,Absent,Weak,Strong,Weak,Absent,Absent,0.028,1.181,0,Weak,Strong,Absent,weak_mutual_weak_anta,Matasgordas,193819.5392,4113420.419,573.033288,14.60701922,7,0.571,0.713,0.607,1.049,2.797
43,EM293,0,0,0,0.09,0,0,Absent,Absent,Absent,Weak,Absent,Absent,0,0.09,0,Absent,Weak,Absent,weak_mutual,Matasgordas,193835.3521,4113462.872,1297.582285,18.7983108,2,0.143,0.014,1.000,1.463,1.000
44,EM297H,0,0,0.458,0,0,0,Absent,Absent,Strong,Absent,Absent,Absent,0,0.458,0,Absent,Strong,Absent,weak_mutual,Matasgordas,193862.8317,4113437.124,1960.413415,27.55096425,1,0.286,0.054,0.695,1.220,1.888
45,EM298H,0.083,0,0.417,0.313,0.014,0,Weak,Absent,Strong,Strong,Weak,Absent,0.083,0.73,0.014,Weak,Strong,Weak,weak_mutual_weak_anta,Matasgordas,193839.5045,4113357.877,1774.900097,6.856570762,2,0.571,0.818,0.498,1.049,3.204
46,EM300H,0,0,0.028,0.389,0,0,Absent,Absent,Weak,Strong,Absent,Absent,0,0.417,0,Absent,Strong,Absent,weak_mutual,Matasgordas,193904.4553,4113367.218,3033.539044,40.85874181,1,0.429,0.630,0.681,1.171,2.229
47,ER002H,0,0.007,0,0,0,0,Absent,Weak,Absent,Absent,Absent,Absent,0.007,0,0,Weak,Absent,Absent,weak_anta,Martinazo,193935.2917,4103036.705,735.91497,14.39071036,3,0.429,0.084,0.521,2.825,1.000
48,ER007H,0.083,0.028,0.028,0,0,0,Weak,Weak,Weak,Absent,Absent,Absent,0.111,0.028,0,Weak,Weak,Absent,weak_mutual_weak_anta,Martinazo,193948.9277,4103023.05,1383.900122,19.29753843,1,0.571,0.252,0.440,3.572,1.000
