,deer,wildboar,rabbit,rat,fox,badger,unknow
ER002H,0.1667,0.0833,0.0833,0.0000,0.0000,0.0000,0.0000
ER007H,0.2500,0.1667,0.1667,0.0000,0.0000,0.0833,0.0000
ER028H,0.0833,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000
ER033H,0.2500,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000
ER036H,1.0000,0.1667,0.0833,0.0000,0.0000,0.0833,0.0000
ER037H,0.0000,0.1667,0.0000,0.1667,0.0000,0.0000,0.0000
ER044H,0.5833,0.1667,0.0000,0.0833,0.0000,0.0000,0.0000
ER045H,0.8333,0.0833,0.0000,0.0000,0.0000,0.0000,0.0833
ER047H,0.1667,0.0833,0.0000,0.0000,0.0000,0.0000,0.0000
ER050H,0.1667,0.0833,0.0000,0.0000,0.0000,0.0000,0.0000
ER052X,0.2500,0.4167,0.1667,0.0000,0.0000,0.0000,0.0000
ER053H,0.0833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ER061H,0.8333,0.1667,0.0000,0.0000,0.0000,0.1667,0.0000
ER067H,0.5000,0.0000,0.2500,0.0000,0.1667,0.2500,0.0000
ER070H,0.3333,0.0000,0.7500,0.0000,0.1667,0.0000,0.0000
ER071M-H,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ER072H,0.4167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ER073H,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ER074M-H,0.5833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ER079H,0.9167,0.1667,0.8333,0.0000,0.0000,0.1667,0.0000
ER080H,0.5833,0.4167,1.0000,0.0833,0.0000,0.2500,0.0000
ER085H,0.4167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ER086H,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ER090H,0.7500,0.0000,0.0833,0.0000,0.0000,0.0000,0.0000
