,deer,wildboar,rabbit,rat,fox,badger,unknow
CHU0108,0,0,0.083333333,0.00,0,0,0.00
CHU0111,0,0,0,0.00,0,0,0.00
CHU096M,0.916666667,0,0,0.00,0,0.166666667,0.17
CHU100,0,0,0,0.00,0,0,0.08
CHU105M,0,0,0.333333333,0.00,0,0.083333333,0.00
CHU114M,0.5,0,0.083333333,0.00,0,0.083333333,0.08
EM001H,0.083333333,0,0,0.00,0,0.083333333,0.00
EM003H,0,0,0.083333333,0.00,0,0,0.00
EM007,0,0,0.083333333,0.08,0,0,0.00
EM008,0.083333333,0,0.083333333,0.00,0,0,0.00
EM009,0,0,0.166666667,0.00,0,0,0.00
EM013,0.166666667,0,0.583333333,0.17,0,0,0.00
EM028,0,0,0,0.00,0,0,0.08
EM031,0,0,0.166666667,0.08,0,0,0.00
EM044,0,0,0.083333333,0.17,0,0,0.00
EM054,0,0,0,0.17,0,0,0.00
EM060,0,0,0.25,0.17,0,0,0.00
EM062B,0.166666667,0,0,0.17,0,0,0.00
EM066H,0,0,0.083333333,0.00,0,0,0.00
EM083H,0,0,0,0.17,0,0,0.00
EM090H,0,0,0,0.33,0,0,0.17
EM097H,0,0,0,0.00,0,0,0.00
EM117H,0.166666667,0,0.166666667,0.00,0,0,0.25
EM123H,0.083333333,0,0.083333333,0.17,0,0,0.08
EM128,0.083333333,0,0,0.25,0,0.083333333,0.00
EM133,0.25,0,0,0.33,0,0,0.00
EM136,0,0,0,0.00,0,0,0.00
EM138,0.083333333,0,0,0.08,0,0,0.00
EM142,0,0,0,0.08,0,0,0.00
EM155,0.166666667,0,0,0.00,0,0,0.00
EM160,0.166666667,0,0.166666667,0.00,0,0,0.00
EM163,0,0,0,0.08,0,0,0.00
EM171,0.083333333,0,1.25,0.00,0,0,0.00
EM190,0,0.083333333,0.416666667,0.25,0,0,0.17
EM193,0.166666667,0,0,0.00,0,0,0.08
EM199,0,0,0.416666667,0.25,0,0.166666667,0.00
EM227,0.083333333,0,0.083333333,0.00,0,0,0.08
EM234,0,0,0.083333333,0.00,0,0,0.00
EM236,0,0,0,0.00,0,0,0.00
EM240,0.416666667,0,0,0.00,0,0.25,0.00
EM270,0,0,0,0.00,0,0,0.00
EM291H,0.166666667,0.083333333,0.75,0.17,0,0,0.00
EM293,0,0,0,0.08,0,0,0.00
EM297H,0.25,0,0.333333333,0.00,0,0,0.00
EM298H,0.333333333,0,0.833333333,0.42,0.083333333,0,0.00
EM300H,0,0,0.25,0.50,0.083333333,0,0.00
